dataset,seed,fold,k,lam,lam_star,is_lam_star,centered,tau2,within,test_uar,test_acc,leak_bits,control_bits
iemocap,47,3,1,0.0515,0.0515,1,1,4.7289,87.0175,0.5580971278634667,0.5440647482014388,0.16770178045213602,-0.007359554837198523
iemocap,47,3,1,0.0,0.0515,0,1,4.7289,87.0175,0.5646482696136287,0.5503597122302158,0.17992441209268595,-0.007535374956551877
iemocap,47,3,2,0.098,0.098,1,1,4.7289,87.0175,0.5633852225237769,0.5494604316546763,0.15154417867146774,-0.008318701549389518
iemocap,47,3,2,0.0,0.098,0,1,4.7289,87.0175,0.5646482696136287,0.5503597122302158,0.17992441209268595,-0.007535374956551877
iemocap,47,3,5,0.2137,0.2137,1,1,4.7289,87.0175,0.5719935584994013,0.5566546762589928,0.1231152088415115,-0.008353705964992297
iemocap,47,3,5,0.0,0.2137,0,1,4.7289,87.0175,0.5646482696136287,0.5503597122302158,0.17992441209268595,-0.007535374956551877
iemocap,47,3,10,0.3521,0.3521,1,1,4.7289,87.0175,0.5631033732820998,0.5494604316546763,0.0928972676399622,-0.007760102403679081
iemocap,47,3,10,0.0,0.3521,0,1,4.7289,87.0175,0.5646482696136287,0.5503597122302158,0.17992441209268595,-0.007535374956551877
iemocap,47,3,20,0.5208,0.5208,1,1,4.7289,87.0175,0.5605977549369814,0.5422661870503597,0.059019541485943794,-0.008289724057117143
iemocap,47,3,20,0.0,0.5208,0,1,4.7289,87.0175,0.5646482696136287,0.5503597122302158,0.17992441209268595,-0.007535374956551877
