dataset,seed,fold,k,lam,lam_star,is_lam_star,centered,tau2,within,test_uar,test_acc,leak_bits,control_bits
iemocap,46,2,1,0.0903,0.0903,1,1,9.5207,95.8714,0.4948597948789649,0.4902826855123675,0.06733853898510678,-0.001196586925455434
iemocap,46,2,1,0.0,0.0903,0,1,9.5207,95.8714,0.5005186949870792,0.49734982332155475,0.0796709423853611,-0.0015179256721223888
iemocap,46,2,2,0.1657,0.1657,1,1,9.5207,95.8714,0.5048806725418318,0.49823321554770317,0.05872908949380784,-0.002753550658699866
iemocap,46,2,2,0.0,0.1657,0,1,9.5207,95.8714,0.5005186949870792,0.49734982332155475,0.0796709423853611,-0.0015179256721223888
iemocap,46,2,5,0.3318,0.3318,1,1,9.5207,95.8714,0.5053683095477016,0.49823321554770317,0.04341305925510108,-0.002658832693502755
iemocap,46,2,5,0.0,0.3318,0,1,9.5207,95.8714,0.5005186949870792,0.49734982332155475,0.0796709423853611,-0.0015179256721223888
iemocap,46,2,10,0.4983,0.4983,1,1,9.5207,95.8714,0.4993025972191274,0.48851590106007065,0.026545261511002116,-0.0024565799408621247
iemocap,46,2,10,0.0,0.4983,0,1,9.5207,95.8714,0.5005186949870792,0.49734982332155475,0.0796709423853611,-0.0015179256721223888
iemocap,46,2,20,0.6651,0.6651,1,1,9.5207,95.8714,0.500944926031273,0.4876325088339223,0.017819836743486084,-0.001594076981033199
iemocap,46,2,20,0.0,0.6651,0,1,9.5207,95.8714,0.5005186949870792,0.49734982332155475,0.0796709423853611,-0.0015179256721223888
