dataset,seed,fold,k,lam,lam_star,is_lam_star,centered,tau2,within,test_uar,test_acc,leak_bits,control_bits
iemocap,45,1,1,0.1495,0.1495,1,1,18.9771,107.957,0.540693560793853,0.4902826855123675,0.07240692081070232,-0.008031066163312839
iemocap,45,1,1,0.0,0.1495,0,1,18.9771,107.957,0.5453665107920413,0.49646643109540634,0.0877102489283268,-0.007966747164016241
iemocap,45,1,2,0.2601,0.2601,1,1,18.9771,107.957,0.5503431213620408,0.5035335689045937,0.05851532818368188,-0.00834164518838254
iemocap,45,1,2,0.0,0.2601,0,1,18.9771,107.957,0.5453665107920413,0.49646643109540634,0.0877102489283268,-0.007966747164016241
iemocap,45,1,5,0.4678,0.4678,1,1,18.9771,107.957,0.5467738533883921,0.49646643109540634,0.038314252860223275,-0.0072325290625060434
iemocap,45,1,5,0.0,0.4678,0,1,18.9771,107.957,0.5453665107920413,0.49646643109540634,0.0877102489283268,-0.007966747164016241
iemocap,45,1,10,0.6374,0.6374,1,1,18.9771,107.957,0.5425983197945513,0.48939929328621906,0.027031680698447302,-0.007453033423741706
iemocap,45,1,10,0.0,0.6374,0,1,18.9771,107.957,0.5453665107920413,0.49646643109540634,0.0877102489283268,-0.007966747164016241
iemocap,45,1,20,0.7785,0.7785,1,1,18.9771,107.957,0.5510661379608665,0.495583038869258,0.020868146742755722,-0.006407074160111104
iemocap,45,1,20,0.0,0.7785,0,1,18.9771,107.957,0.5453665107920413,0.49646643109540634,0.0877102489283268,-0.007966747164016241
