dataset,seed,fold,kappa,input_cmn,lambda_aff_spk_adv,lambda_orth,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_rep_linear_mi_lb_bits,c_aff_rep_linear_control_bits,c_aff_rep_linear_entropy_bits,c_aff_rep_mlp_mi_lb_bits,c_aff_rep_mlp_control_bits,c_aff_rep_mlp_entropy_bits,c_style_rep_linear_mi_lb_bits,c_style_rep_linear_control_bits,c_style_rep_linear_entropy_bits,c_style_rep_mlp_mi_lb_bits,c_style_rep_mlp_control_bits,c_style_rep_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,c_aff_probe_acc,c_aff_leakage_index
ravdess,42,1,0.0,False,0.0,0.0,17,119.6,0.359375,0.2814561269975963,0.36,0.4187123622535589,-0.0417642229295767,2.321928094887362,0.1301577523886945,-0.029045169720975,2.321928094887362,0.9456619614333396,-0.0458955639167233,2.321928094887362,0.4714589821806909,-0.0127552636038004,2.321928094887362,1.5353281154774,-0.6852845689110216,2.321928094887362,1.1237891573429415,-0.210725777229801,2.321928094887362,0.4022222222222222,0.2527777777777777
ravdess,42,1,0.5,False,0.175,0.025,31,174.5,0.40625,0.3193673533171587,0.3933333333333333,0.3369308858535718,-0.045040458590889,2.321928094887362,0.1145441915743514,-0.0326921152040715,2.321928094887362,0.9748031784153036,0.0057793209019614,2.321928094887362,0.4504853653646765,-0.0167196216406964,2.321928094887362,1.5510674173730687,-0.797691877219266,2.321928094887362,1.2903413505954928,-0.2996590640586416,2.321928094887362,0.3733333333333333,0.2166666666666666
ravdess,42,1,1.0,False,0.35,0.05,33,173.9,0.4,0.3302165678524374,0.3866666666666666,0.1876103091899326,-0.0495890884060772,2.321928094887362,0.0949860066034822,-0.0300478630826503,2.321928094887362,0.7619532724600122,-0.0455996874348056,2.321928094887362,0.3792298190278398,-0.0447834785498928,2.321928094887362,1.6538867800109442,-0.9423964286657912,2.321928094887362,0.9011726701819692,-0.2977543673495093,2.321928094887362,0.3644444444444444,0.2055555555555555
ravdess,42,1,2.0,False,0.7,0.1,36,173.3,0.38125,0.3057900973451138,0.3733333333333333,0.2907980416728812,-0.0315441420959698,2.321928094887362,0.1017572671930477,-0.0056498800654289,2.321928094887362,0.8523354537669376,-0.020031385504887,2.321928094887362,0.5929990014239988,-0.0223190261041641,2.321928094887362,1.5462975290393004,-0.7679761596632297,2.321928094887362,1.1015823500205166,-0.325399526625802,2.321928094887362,0.36,0.1999999999999999
ravdess,42,1,4.0,False,1.4,0.2,30,173.3,0.33125,0.2735474621413015,0.3433333333333333,0.2345002164106802,-0.0549629482332969,2.321928094887362,0.0987752011250062,-0.0052477677264479,2.321928094887362,0.4684915989311009,-0.0473468235761251,2.321928094887362,0.2649194874965306,-0.0285890769447183,2.321928094887362,1.3915279556857958,-0.7112506929350029,2.321928094887362,0.877872750273768,-0.1696686697560059,2.321928094887362,0.3644444444444444,0.2055555555555555
ravdess,42,1,8.0,False,2.8,0.4,25,155.0,0.3375,0.2916506741303405,0.3566666666666667,0.1712658360527532,-0.0397740813012257,2.321928094887362,0.0763355527089104,-0.0261469599763439,2.321928094887362,0.4964269454354872,-0.0470562864718022,2.321928094887362,0.1355311786228532,-0.018860592325181,2.321928094887362,1.5245723966707636,-0.8151993681600689,2.321928094887362,1.0488129711386218,-0.2210070432900366,2.321928094887362,0.3644444444444444,0.2055555555555555
ravdess,42,1,16.0,False,5.6,0.8,38,173.1,0.275,0.2073321342925659,0.2933333333333333,0.2639272734781279,-0.0362235407839963,2.321928094887362,0.018561806386407,-0.0314542499923189,2.321928094887362,0.6379329998517649,-0.0460942186657167,2.321928094887362,0.41831845161162,-0.0255034960471007,2.321928094887362,1.3728032068386111,-0.6807872270702733,2.321928094887362,0.8565992445601447,-0.2622550269061392,2.321928094887362,0.3288888888888889,0.1611111111111111
ravdess,42,2,0.0,False,0.0,0.0,8,81.1,0.271875,0.1730045641160028,0.2433333333333333,0.7248777016658796,-0.0703872719855875,2.321928094887362,0.4009296832548392,-0.043782254468085,2.321928094887362,1.1045562867266774,-0.0453288456377958,2.321928094887362,0.6742023305503408,-0.0286942411796702,2.321928094887362,1.7529256930723145,-0.3401889669684355,2.321928094887362,1.3042801765271428,-0.221411720028672,2.321928094887362,0.5155555555555555,0.3944444444444444
ravdess,42,2,0.5,False,0.175,0.025,28,165.3,0.325,0.263091136852059,0.3066666666666666,0.4691301245489574,-0.0618900498991359,2.321928094887362,0.2304197105403287,-0.0637432607965036,2.321928094887362,1.197051293729562,-0.0599197769195747,2.321928094887362,0.6337944197635694,-0.0605852527700712,2.321928094887362,1.7628301305326084,-0.8839266689307865,2.321928094887362,1.5764234164895092,-0.2636247778127427,2.321928094887362,0.4266666666666666,0.2833333333333332
ravdess,42,2,1.0,False,0.35,0.05,35,172.9,0.35625,0.3071837187979979,0.35,0.5047672270343757,-0.0670547553324207,2.321928094887362,0.2235254640446005,-0.0472370414900771,2.321928094887362,1.1568353773642224,-0.0316829656427821,2.321928094887362,0.6830010497478289,-0.0495252978192546,2.321928094887362,1.8209611836801285,-0.8829425621854026,2.321928094887362,1.554367172833867,-0.209027509121972,2.321928094887362,0.4,0.25
