dataset,seed,fold,kappa,input_cmn,no_style,lambda_aff_spk_adv,lambda_orth,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_rep_linear_mi_lb_bits,c_aff_rep_linear_control_bits,c_aff_rep_linear_entropy_bits,c_aff_rep_mlp_mi_lb_bits,c_aff_rep_mlp_control_bits,c_aff_rep_mlp_entropy_bits,c_style_rep_linear_mi_lb_bits,c_style_rep_linear_control_bits,c_style_rep_linear_entropy_bits,c_style_rep_mlp_mi_lb_bits,c_style_rep_mlp_control_bits,c_style_rep_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,c_aff_probe_acc,c_aff_leakage_index
ravdess,42,1,0.0,True,True,0.0,0.0,30,130.4,0.428125,0.36732675279351756,0.41333333333333333,0.2412533737872642,-0.043484440869701935,2.3219280948873626,0.10763413343412154,-0.04351201582860842,2.3219280948873626,4.440892098500626e-16,4.440892098500626e-16,2.3219280948873626,-0.013312295456559209,-0.011905578149823626,2.3219280948873626,1.4791909253756241,-0.7687906098026582,2.3219280948873626,0.8972276248665934,-0.21954358093093562,2.3219280948873626,0.3422222222222222,0.17777777777777773
ravdess,42,2,0.0,True,True,0.0,0.0,12,81.9,0.3125,0.22004391446582117,0.29333333333333333,0.48659571327075346,-0.05627739404958154,2.3219280948873626,0.2530644574401606,-0.03210050696473399,2.3219280948873626,4.440892098500626e-16,4.440892098500626e-16,2.3219280948873626,-0.013312295456559209,-0.011905578149823626,2.3219280948873626,1.8612845223012442,-0.27170510105608825,2.3219280948873626,1.04982179453872,-0.16971486269476044,2.3219280948873626,0.40444444444444444,0.25555555555555554
ravdess,42,3,0.0,True,True,0.0,0.0,39,130.7,0.40312499999999996,0.3431901733330184,0.38666666666666666,0.11365598826450407,-0.08909559348854534,2.3219280948873626,0.028912590918739767,-0.04693684480728422,2.3219280948873626,4.440892098500626e-16,4.440892098500626e-16,2.3219280948873626,-0.013312295456559209,-0.011905578149823626,2.3219280948873626,1.9382593478827286,-0.7975839795433126,2.3219280948873626,1.3072830825541126,-0.3011037864422206,2.3219280948873626,0.33333333333333337,0.16666666666666669
ravdess,42,4,0.0,True,True,0.0,0.0,39,129.9,0.41875,0.35880602788505334,0.4266666666666667,0.2958158210252906,-0.044708439515238396,2.3219280948873626,0.020898954107716694,-0.019377555367450672,2.3219280948873626,4.440892098500626e-16,4.440892098500626e-16,2.3219280948873626,-0.013312295456559209,-0.011905578149823626,2.3219280948873626,1.9154705643242458,-0.5334169518189587,2.3219280948873626,1.530542011757708,-0.27146811450757324,2.3219280948873626,0.2844444444444444,0.10555555555555547
ravdess,42,5,0.0,True,True,0.0,0.0,33,140.3,0.40234375,0.3577350691422396,0.38333333333333336,0.243291870041489,-0.07200770200258333,2.0,0.07885681177543136,-0.012838894838354431,2.0,0.0,0.0,2.0,-0.005612100601656955,-0.005540639786377088,2.0,1.577836118351183,-0.5446808037579931,2.0,1.1438534919904013,-0.31174728511420335,2.0,0.3861111111111111,0.1814814814814815
ravdess,43,1,0.0,True,True,0.0,0.0,33,125.8,0.40937500000000004,0.3569789133290997,0.3933333333333333,0.2470300244129482,-0.053493066186252936,2.3219280948873626,0.07087146682558965,-0.09587146282144143,2.3219280948873626,4.440892098500626e-16,4.440892098500626e-16,2.3219280948873626,-0.016976837539390388,-0.021341677061498032,2.3219280948873626,1.6344787279031583,-0.8548663356877753,2.3219280948873626,0.9934869858306541,-0.26093539719629444,2.3219280948873626,0.3222222222222222,0.1527777777777777
ravdess,43,2,0.0,True,True,0.0,0.0,25,108.9,0.4375,0.3998294383301321,0.44,0.3692359452549925,-0.04398898111817662,2.3219280948873626,0.2461062774388636,-0.03228191303865069,2.3219280948873626,4.440892098500626e-16,4.440892098500626e-16,2.3219280948873626,-0.016976837539390388,-0.021341677061498032,2.3219280948873626,1.9131410052939584,-0.6291375761822429,2.3219280948873626,1.341739458294568,-0.2360963106387466,2.3219280948873626,0.4377777777777777,0.2972222222222221
ravdess,43,3,0.0,True,True,0.0,0.0,16,86.8,0.39375000000000004,0.35063952736620985,0.39,0.14322197453021923,-0.04482904164299972,2.3219280948873626,0.10602387304259953,-0.04983244901191908,2.3219280948873626,4.440892098500626e-16,4.440892098500626e-16,2.3219280948873626,-0.016976837539390388,-0.021341677061498032,2.3219280948873626,1.7289067619301837,-0.5608898138831471,2.3219280948873626,0.9337979070909777,-0.22030017798160584,2.3219280948873626,0.26444444444444437,0.08055555555555545
ravdess,43,4,0.0,True,True,0.0,0.0,29,120.2,0.475,0.4449391528837188,0.4766666666666667,0.24348601997701724,-0.07943284955169849,2.3219280948873626,0.12686669704429399,-0.06061949724403792,2.3219280948873626,4.440892098500626e-16,4.440892098500626e-16,2.3219280948873626,-0.016976837539390388,-0.021341677061498032,2.3219280948873626,2.006184768090262,-0.6346744046314376,2.3219280948873626,1.7135276212909996,-0.2619883853269074,2.3219280948873626,0.3533333333333334,0.1916666666666667
ravdess,43,5,0.0,True,True,0.0,0.0,11,78.1,0.3125,0.26807357642272256,0.3125,0.2014613505540639,-0.033922347199840885,2.0,0.13275243860548147,-0.02203274908018571,2.0,0.0,0.0,2.0,-0.0048533944734212575,-0.005012751998500153,2.0,1.6205119800242118,-0.3951473537988539,2.0,0.9463720223295051,-0.33496686743495063,2.0,0.3888888888888889,0.1851851851851852
