dataset,model,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,delta_linear_mi_lb_bits,delta_linear_control_bits,delta_linear_entropy_bits,delta_mlp_mi_lb_bits,delta_mlp_control_bits,delta_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,concepts_probe_acc,concepts_leakage_index,concept_swap_sensitivity,enroll_resample_consistency,enrollk1_test_uar,enrollk1_concepts_mi_lb_bits,enrollk2_test_uar,enrollk2_concepts_mi_lb_bits,enrollk5_test_uar,enrollk5_concepts_mi_lb_bits,enrollk10_test_uar,enrollk10_concepts_mi_lb_bits
ravdess,shift_operator_v0,42,1,31,108.0,0.496875,0.4065875236676604,0.4666666666666667,0.01815364089557736,-0.0169141056695552,2.3219280948873626,0.01660895484145586,-0.037743281789281546,2.3219280948873626,-2.413750782142559,-0.989902951146675,2.3219280948873626,0.41450206562013836,-0.22166767633024786,2.3219280948873626,1.2075892259531364,-0.8629386827657619,2.3219280948873626,0.599421980166505,-0.29731550267495077,2.3219280948873626,0.20444444444444443,0.005555555555555522,0.8066666666666666,0.8,0.246875,-0.052590226386138195,0.37812500000000004,-0.007691207952541745,0.44375000000000003,-0.024344354487891184,0.475,0.02163099020489856
ravdess,shift_operator_v0,42,2,35,107.8,0.45,0.3959282075815862,0.44,0.18514395497765967,-0.06080420825212718,2.3219280948873626,0.03363580667870325,-0.039584969822048954,2.3219280948873626,-2.3163885400990614,-0.5898061990978678,2.3219280948873626,1.1073986701473504,-0.22808108529730076,2.3219280948873626,1.8326108239179386,-0.5135919664972386,2.3219280948873626,1.322698332259345,-0.27679155069255046,2.3219280948873626,0.29111111111111104,0.11388888888888879,0.8766666666666667,0.7366666666666667,0.25,0.009597027533690294,0.34375,0.08095737918179591,0.39062500000000006,0.07285681138760225,0.40937500000000004,0.1607378931676533
ravdess,shift_operator_v0,42,3,30,108.3,0.4125,0.3479025028223512,0.4,0.008765070902758243,-0.0884877750918922,2.3219280948873626,-0.03976922795731008,-0.037390454213400925,2.3219280948873626,-2.218362518796722,-0.9623011482347068,2.3219280948873626,0.5072764618533614,-0.3629242601281444,2.3219280948873626,1.6377185636345297,-0.891882850705771,2.3219280948873626,1.0263500867148592,-0.2889264716466622,2.3219280948873626,0.22666666666666666,0.033333333333333305,0.8033333333333333,0.8233333333333334,0.25625000000000003,-0.024619143541753985,0.31562500000000004,-0.04971881084316898,0.353125,-0.04031127107649013,0.40625,-0.023893729591330626
ravdess,shift_operator_v0,42,4,21,92.7,0.509375,0.40972468066265044,0.48333333333333334,-0.02348734722756607,-0.061522124722078075,2.3219280948873626,-0.03803478874174493,-0.043507326995792184,2.3219280948873626,-1.8503727871600573,-0.6221860787415503,2.3219280948873626,0.6906466415580883,-0.2620277106986082,2.3219280948873626,1.9013724799094163,-0.4642121085878306,2.3219280948873626,1.3310888806296746,-0.2463942872100331,2.3219280948873626,0.19777777777777777,-0.0027777777777777957,0.8433333333333334,0.8133333333333334,0.2875,-0.029227550328270624,0.375,0.01421122680424558,0.428125,0.01738026208981136,0.48124999999999996,-0.030389565131951457
ravdess,shift_operator_v0,42,5,31,110.8,0.49609375,0.4193089922270228,0.4708333333333333,-0.02870024975383778,-0.05035596618996996,2.0,-0.052519652356177726,-0.054332594625636776,2.0,-2.2360553936234657,-0.6262066351215556,2.0,0.5239211754764028,-0.23105696400414732,2.0,1.3242289354047605,-0.655872656539187,2.0,0.6827175677658675,-0.21006366303837254,2.0,0.25,0.0,0.7916666666666666,0.7375,0.31640625,-0.06641553776393172,0.36328125,-0.0462096980369906,0.4140625,-0.02685084935134885,0.46484375,-0.03883589082540251
ravdess,shift_operator_v0,43,1,37,108.3,0.41875,0.3801078948731553,0.4033333333333333,0.03559983838628655,-0.053776535645287726,2.3219280948873626,-0.08392385975922112,-0.08878586227109286,2.3219280948873626,-2.857410682676588,-1.0041579847564992,2.3219280948873626,0.3268936167436227,-0.28194781941968206,2.3219280948873626,1.285550666668477,-0.8780875401364923,2.3219280948873626,0.6286464560575398,-0.269459271095954,2.3219280948873626,0.1888888888888889,-0.013888888888888874,0.8433333333333334,0.7966666666666666,0.3125,0.005436091504459117,0.38749999999999996,0.015059930918658537,0.4125,-0.010891207864746288,0.44375,0.02834351152978165
ravdess,shift_operator_v0,43,2,14,74.0,0.3875,0.32169274783540835,0.37,0.007813853061422016,-0.03424126433653907,2.3219280948873626,-0.05973619694545684,-0.050363028759907724,2.3219280948873626,-1.6605639265216836,-0.5447812130885188,2.3219280948873626,0.8686808279335008,-0.2659115000100347,2.3219280948873626,1.8451174704021018,-0.4913692833269421,2.3219280948873626,1.3325624427148541,-0.2021735317224551,2.3219280948873626,0.2444444444444444,0.0555555555555555,0.7933333333333333,0.87,0.2625,-0.03738346055638164,0.325,-0.02671615833629115,0.346875,-0.008924443619320321,0.38125,-0.011480191366873171
ravdess,shift_operator_v0,43,3,26,103.6,0.446875,0.4016066293385486,0.44,-0.03241445035032209,-0.06223915474720254,2.3219280948873626,-0.08581400933941152,-0.06577214824102162,2.3219280948873626,-2.2842174193086775,-1.0120402427814534,2.3219280948873626,0.6025580787635902,-0.24437037964209551,2.3219280948873626,1.616852860644122,-0.9163886787303923,2.3219280948873626,0.8590141410542718,-0.2558301962661953,2.3219280948873626,0.18222222222222223,-0.022222222222222227,0.8866666666666667,0.8233333333333334,0.31562500000000004,-0.007026497257154762,0.375,-0.02131040773113968,0.396875,-0.027677505701446226,0.396875,-0.03403013209580896
ravdess,shift_operator_v0,43,4,29,107.4,0.565625,0.4959285475029453,0.5433333333333333,-0.03128220790485248,-0.1013315384908644,2.3219280948873626,-0.02310981316622529,-0.13556480715432961,2.3219280948873626,-2.3355798005786603,-0.840718548285257,2.3219280948873626,0.6486675252311329,-0.2750707938704786,2.3219280948873626,1.923525533137251,-0.7246108227140877,2.3219280948873626,1.2117668572147795,-0.26733928530725626,2.3219280948873626,0.2333333333333333,0.04166666666666662,0.8133333333333334,0.8466666666666667,0.35625,-0.07090458055158244,0.46562500000000007,0.002747561296192469,0.5093749999999999,-0.005232352577370314,0.5375000000000001,-0.030075317864159956
ravdess,shift_operator_v0,43,5,36,109.9,0.5078125,0.4481837659034992,0.4875,-0.07420252833680507,-0.010043601392545565,2.0,-0.030529884747696023,-0.005643977845661841,2.0,-2.622677261089626,-0.8154450305297862,2.0,0.17146037328329555,-0.29332016367275004,2.0,1.349022072909701,-0.9385491212926027,2.0,0.7418089047035694,-0.27153162225509986,2.0,0.20555555555555555,-0.05925925925925927,0.8583333333333333,0.775,0.32421875,-0.06876226343684033,0.40625,-0.04041255179572856,0.4609375,-0.07326753719856205,0.515625,-0.0656798664263114
ravdess,shift_operator_v0,44,1,28,106.3,0.434375,0.37463933030793495,0.41333333333333333,0.06340607904278928,-0.06297048495058055,2.3219280948873626,-0.0038593176073105084,-0.045553204420862414,2.3219280948873626,-2.1950734528932747,-0.8554503228302659,2.3219280948873626,0.3404052753674769,-0.25009552489107145,2.3219280948873626,1.1936383721996024,-0.6924476565233921,2.3219280948873626,0.6212584057099921,-0.27244418008368276,2.3219280948873626,0.23777777777777778,0.047222222222222214,0.8566666666666667,0.8433333333333334,0.290625,0.008387056905196033,0.375,-0.07080184952524737,0.403125,-0.0038650413113985316,0.428125,0.04119480430370448
ravdess,shift_operator_v0,44,2,21,92.7,0.465625,0.4137612929727247,0.4633333333333333,0.0652455836777226,-0.05158676765870318,2.3219280948873626,-0.042351399364179976,-0.03660604740068729,2.3219280948873626,-2.1850350195605586,-1.0937139739483261,2.3219280948873626,0.8687206159817864,-0.23099117216202725,2.3219280948873626,1.8209490209080683,-0.9140088809072591,2.3219280948873626,1.4966345862748023,-0.1517522340811488,2.3219280948873626,0.18222222222222223,-0.022222222222222227,0.8333333333333334,0.81,0.30625,-0.016938133789909937,0.328125,-0.04073467106571371,0.40937500000000004,0.0027338107628978037,0.40937499999999993,0.039163756432389896
ravdess,shift_operator_v0,44,3,27,105.0,0.41875,0.3656668787140489,0.4266666666666667,-0.0183361817978005,-0.06436424382434502,2.3219280948873626,-0.06042118837083832,-0.06600597778808259,2.3219280948873626,-2.142230147683618,-0.9998159413729972,2.3219280948873626,0.35546667863642756,-0.18221312803736867,2.3219280948873626,1.5759655508494272,-0.9417940825427142,2.3219280948873626,1.0492170346574923,-0.258451011784683,2.3219280948873626,0.1688888888888889,-0.038888888888888896,0.8233333333333334,0.8,0.26875,-0.04924478549496669,0.334375,-0.041989504266791045,0.36875,-0.02324105891175865,0.36875,-0.024382566921285154
ravdess,shift_operator_v0,44,4,22,94.7,0.53125,0.45577765649856766,0.5166666666666667,-0.019467173146979988,-0.07280329808527508,2.3219280948873626,-0.001450852329460961,-0.037589876193722116,2.3219280948873626,-1.9051914502088598,-0.9277513857112258,2.3219280948873626,0.5795696304228846,-0.2557331229304256,2.3219280948873626,1.9800152734780787,-0.8688322590990989,2.3219280948873626,1.494179330369183,-0.23206673042735115,2.3219280948873626,0.21333333333333332,0.016666666666666635,0.81,0.72,0.3375,-0.03433813534664898,0.359375,-0.029830452708566657,0.43125,-0.055208096303016596,0.49375,-0.03371905969023148
ravdess,shift_operator_v0,44,5,34,110.5,0.4921875,0.43254065466627484,0.4708333333333333,0.05435122342658838,-0.025518531153792434,2.0,-0.047066710758143504,-0.020990676292023114,2.0,-2.185588502438102,-0.8520862893741268,2.0,0.39283814222518965,-0.19749938133026523,2.0,1.3921953379797098,-0.7754429188796781,2.0,0.778864942323259,-0.1612075670479216,2.0,0.2777777777777778,0.037037037037037056,0.8291666666666667,0.875,0.31640625,-0.002909626314185232,0.3828125,-0.005533149051179187,0.44921875,0.04670394516650411,0.4609375,0.04506870320120071
