dataset,seed,fold,k,lam,lam_star,is_lam_star,is_matrix,tau2,within,test_uar,test_acc,leak_bits,control_bits
ravdess,42,3,1,0.0,0.1624,0,0,8.5969,44.3541,0.20312499999999997,0.21666666666666667,0.3057046156668197,-0.06441944261568278
ravdess,42,3,1,0.1,0.1624,0,0,8.5969,44.3541,0.21250000000000002,0.22333333333333333,0.23883143105257476,-0.07140438215596001
ravdess,42,3,1,0.1624,0.1624,1,0,8.5969,44.3541,0.240625,0.25,0.19270975063910356,-0.07731617785409917
ravdess,42,3,1,0.2,0.1624,0,0,8.5969,44.3541,0.253125,0.2633333333333333,0.16529295168425673,-0.08059670043686218
ravdess,42,3,1,0.3,0.1624,0,0,8.5969,44.3541,0.28125,0.29333333333333333,0.09890027098473553,-0.08530531580072909
ravdess,42,3,1,0.5,0.1624,0,0,8.5969,44.3541,0.296875,0.30666666666666664,0.005050975638368982,-0.06617261274187491
ravdess,42,3,1,0.7,0.1624,0,0,8.5969,44.3541,0.3,0.31,-0.03941230465924184,-0.03843529097210663
ravdess,42,3,1,1.0,0.1624,0,0,8.5969,44.3541,0.26875,0.2633333333333333,-0.047175931522619674,-0.027938546999577873
ravdess,42,3,1,0.014319889428989022,0.1624,0,1,8.5969,44.3541,0.26875,0.27666666666666667,0.1925991387814796,-0.07104186020740721
ravdess,42,3,2,0.0,0.2794,0,0,8.5969,44.3541,0.20312499999999997,0.21666666666666667,0.3057046156668197,-0.06441944261568278
ravdess,42,3,2,0.1,0.2794,0,0,8.5969,44.3541,0.23750000000000002,0.24666666666666667,0.24143629460045757,-0.06977667354160166
ravdess,42,3,2,0.2,0.2794,0,0,8.5969,44.3541,0.2625,0.2733333333333333,0.17888614550503013,-0.07960607796355479
ravdess,42,3,2,0.2794,0.2794,1,0,8.5969,44.3541,0.284375,0.2966666666666667,0.13536968701987995,-0.08903907414629675
ravdess,42,3,2,0.3,0.2794,0,0,8.5969,44.3541,0.284375,0.2966666666666667,0.1251021884536212,-0.09126954409881582
ravdess,42,3,2,0.5,0.2794,0,0,8.5969,44.3541,0.31875,0.33,0.04213805203904508,-0.09672357230921858
ravdess,42,3,2,0.7,0.2794,0,0,8.5969,44.3541,0.37187499999999996,0.37666666666666665,-0.012921052755691775,-0.08420675900019647
