dataset,seed,fold,k,lam,lam_star,is_lam_star,is_matrix,tau2,within,test_uar,test_acc,leak_bits,control_bits
ravdess,44,1,1,0.0,0.1072,0,0,5.7751,48.0939,0.28125,0.2733333333333333,0.3557506943938067,-0.06427478490439364
ravdess,44,1,1,0.1,0.1072,0,0,5.7751,48.0939,0.296875,0.28,0.2994097947309644,-0.05439271412071989
ravdess,44,1,1,0.1072,0.1072,1,0,5.7751,48.0939,0.3,0.28,0.29514517119004724,-0.05358273163871852
ravdess,44,1,1,0.2,0.1072,0,0,5.7751,48.0939,0.328125,0.30333333333333334,0.2352373636038818,-0.04190093694306096
ravdess,44,1,1,0.3,0.1072,0,0,5.7751,48.0939,0.35312499999999997,0.33,0.166098715565417,-0.03336753364125622
ravdess,44,1,1,0.5,0.1072,0,0,5.7751,48.0939,0.36875,0.3566666666666667,0.05664647354549146,-0.03931956195390951
ravdess,44,1,1,0.7,0.1072,0,0,5.7751,48.0939,0.36250000000000004,0.35,-0.0073220355597620745,-0.0579331399146632
ravdess,44,1,1,1.0,0.1072,0,0,5.7751,48.0939,0.303125,0.2866666666666667,-0.023555293751553297,-0.041178982356676386
ravdess,44,1,1,0.01564367400571019,0.1072,0,1,5.7751,48.0939,0.340625,0.2966666666666667,0.28676953931550697,-0.035360194440839265
ravdess,44,1,2,0.0,0.1937,0,0,5.7751,48.0939,0.28125,0.2733333333333333,0.3557506943938067,-0.06427478490439364
ravdess,44,1,2,0.1,0.1937,0,0,5.7751,48.0939,0.30000000000000004,0.2866666666666667,0.2951644096695829,-0.06250829882946185
ravdess,44,1,2,0.1937,0.1937,1,0,5.7751,48.0939,0.328125,0.31,0.2326986808898357,-0.058654466166460306
ravdess,44,1,2,0.2,0.1937,0,0,5.7751,48.0939,0.340625,0.32,0.22840312002552254,-0.05830796820480444
ravdess,44,1,2,0.3,0.1937,0,0,5.7751,48.0939,0.3625,0.3333333333333333,0.1607103839560673,-0.054765761450571215
ravdess,44,1,2,0.5,0.1937,0,0,5.7751,48.0939,0.409375,0.38,0.04620024219201779,-0.047804010089917526
ravdess,44,1,2,0.7,0.1937,0,0,5.7751,48.0939,0.396875,0.37666666666666665,-0.01651976164897251,-0.04769567816509257
ravdess,44,1,2,1.0,0.1937,0,0,5.7751,48.0939,0.359375,0.33666666666666667,-0.03981395665588705,-0.05115984817411512
ravdess,44,1,2,0.02438807166182978,0.1937,0,1,5.7751,48.0939,0.340625,0.2966666666666667,0.23333416283310182,-0.05240687629783247
ravdess,44,1,5,0.0,0.3752,0,0,5.7751,48.0939,0.28125,0.2733333333333333,0.3557506943938067,-0.06427478490439364
ravdess,44,1,5,0.1,0.3752,0,0,5.7751,48.0939,0.3,0.2866666666666667,0.299185460160861,-0.05654854147133248
ravdess,44,1,5,0.2,0.3752,0,0,5.7751,48.0939,0.328125,0.30666666666666664,0.24161710293542482,-0.04861603882084742
ravdess,44,1,5,0.3,0.3752,0,0,5.7751,48.0939,0.353125,0.3233333333333333,0.188523451406025,-0.04354792291489851
ravdess,44,1,5,0.3752,0.3752,1,0,5.7751,48.0939,0.39375,0.3566666666666667,0.14948233047111925,-0.04253749576857668
ravdess,44,1,5,0.5,0.3752,0,0,5.7751,48.0939,0.40625,0.37,0.09278175000222388,-0.04644817881860552
ravdess,44,1,5,0.7,0.3752,0,0,5.7751,48.0939,0.440625,0.4033333333333333,0.03753277218884632,-0.06367638753241822
ravdess,44,1,5,1.0,0.3752,0,0,5.7751,48.0939,0.4375,0.4,0.011321895119290382,-0.07797249228122505
ravdess,44,1,5,0.038200145802177045,0.3752,0,1,5.7751,48.0939,0.33125000000000004,0.2866666666666667,0.1781682584373505,-0.05084991128583294
ravdess,44,1,10,0.0,0.5456,0,0,5.7751,48.0939,0.28125,0.2733333333333333,0.3557506943938067,-0.06427478490439364
ravdess,44,1,10,0.1,0.5456,0,0,5.7751,48.0939,0.29375,0.28,0.30187721531046785,-0.0580638614500848
ravdess,44,1,10,0.2,0.5456,0,0,5.7751,48.0939,0.32499999999999996,0.3,0.24633175921322303,-0.051243636568176765
ravdess,44,1,10,0.3,0.5456,0,0,5.7751,48.0939,0.35,0.32,0.19199054416735795,-0.045317581243868865
ravdess,44,1,10,0.5,0.5456,0,0,5.7751,48.0939,0.4125,0.37666666666666665,0.09859173508487018,-0.04053943175472785
ravdess,44,1,10,0.5456,0.5456,1,0,5.7751,48.0939,0.4125,0.38,0.0827133220052052,-0.0416645990311979
ravdess,44,1,10,0.7,0.5456,0,0,5.7751,48.0939,0.41874999999999996,0.38666666666666666,0.04131768928018564,-0.048955983767200006
ravdess,44,1,10,1.0,0.5456,0,0,5.7751,48.0939,0.421875,0.3933333333333333,0.028350689457410816,-0.061792952087175834
ravdess,44,1,10,0.04862326540975368,0.5456,0,1,5.7751,48.0939,0.328125,0.2833333333333333,0.17402090479607502,-0.04666105372804097
ravdess,44,1,20,0.0,0.706,0,0,5.7751,48.0939,0.28125,0.2733333333333333,0.3557506943938067,-0.06427478490439364
ravdess,44,1,20,0.1,0.706,0,0,5.7751,48.0939,0.296875,0.2833333333333333,0.3031531946400876,-0.060258873327817764
ravdess,44,1,20,0.2,0.706,0,0,5.7751,48.0939,0.33125,0.30666666666666664,0.2477254952522645,-0.055987752622962184
ravdess,44,1,20,0.3,0.706,0,0,5.7751,48.0939,0.359375,0.33,0.1940433225931697,-0.05178970050492504
ravdess,44,1,20,0.5,0.706,0,0,5.7751,48.0939,0.41250000000000003,0.38,0.10309866490378417,-0.04649208670151772
ravdess,44,1,20,0.7,0.706,0,0,5.7751,48.0939,0.44375000000000003,0.4066666666666667,0.04689554040902655,-0.05296158819458885
ravdess,44,1,20,0.706,0.706,1,0,5.7751,48.0939,0.44375000000000003,0.4066666666666667,0.04563080176562284,-0.053242690710684215
ravdess,44,1,20,1.0,0.706,0,0,5.7751,48.0939,0.421875,0.38333333333333336,0.020128562637821368,-0.0663282459009027
ravdess,44,1,20,0.05770902546346194,0.706,0,1,5.7751,48.0939,0.346875,0.30333333333333334,0.13961301279111105,-0.058571132106291834
