dataset,seed,fold,kappa,input_cmn,no_style,lambda_aff_spk_adv,lambda_orth,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_rep_linear_mi_lb_bits,c_aff_rep_linear_control_bits,c_aff_rep_linear_entropy_bits,c_aff_rep_mlp_mi_lb_bits,c_aff_rep_mlp_control_bits,c_aff_rep_mlp_entropy_bits,c_style_rep_linear_mi_lb_bits,c_style_rep_linear_control_bits,c_style_rep_linear_entropy_bits,c_style_rep_mlp_mi_lb_bits,c_style_rep_mlp_control_bits,c_style_rep_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,c_aff_probe_acc,c_aff_leakage_index
cremad,42,1,0.0,True,True,0.0,0.0,35,509.0,0.6060405643738976,0.6003222404668871,0.6050135501355014,0.1349816906979191,-0.0531358011414218,4.169925001442313,0.15402506613751843,-0.061336657625852276,4.169925001442313,-0.0003594441629237721,-0.0003594441629237721,4.169925001442313,-0.02106496939813507,-0.01533940088526542,4.169925001442313,1.921618193774898,-1.473764439257443,4.169925001442313,1.711337249113686,-0.2956127042236645,4.169925001442313,0.10293453724604966,0.05016598061346435
cremad,42,2,0.0,True,True,0.0,0.0,31,510.9,0.6198566506706041,0.6128914599776674,0.616271186440678,0.18486681869998467,-0.04311673713849373,4.1699193444441836,0.12521285574761976,-0.046858507738464006,4.1699193444441836,-0.000354491053574435,-0.00035449105357621136,4.1699193444441836,-0.01231048407115054,-0.019948628100634025,4.1699193444441836,1.9647062601745904,-1.4865774587556038,4.1699193444441836,1.8149965248073974,-0.19935843765178607,4.1699193444441836,0.08939051918735892,0.03582525561014475
cremad,42,3,0.0,True,True,0.0,0.0,36,523.0,0.6119908945490341,0.6103324185867169,0.6094915254237289,0.14792529184429437,-0.050745568863637125,4.1699193444441836,0.04000520581167688,-0.05450221664702415,4.1699193444441836,-0.00035449105357621136,-0.00035449105357621136,4.1699193444441836,-0.019928925066794,-0.020612142340902473,4.1699193444441836,2.4696414090377825,-1.7104417868340924,4.1699193444441836,2.2013997255948436,-0.30761218462054973,4.1699193444441836,0.09571106094808127,0.04251759394502723
cremad,42,4,0.0,True,True,0.0,0.0,36,523.2,0.5964177169929382,0.5974387181737159,0.5944372574385511,0.10762952537541892,-0.05499909235655576,4.247550686408009,0.1700235741463656,-0.0378635517857715,4.247550686408009,-0.0003706923243633753,-0.00037076437701877296,4.247550686408009,-0.009427094637209699,-0.008271913772987638,4.247550686408009,2.3806254715296755,-1.287072294274183,4.247550686408009,2.096601361833353,-0.39326600621287877,4.247550686408009,0.07801724137931035,0.02679597701149426
cremad,42,5,0.0,True,True,0.0,0.0,38,511.9,0.6044442385496772,0.5962447882146229,0.6006802721088436,0.21538106647278132,-0.048802687047910354,4.169716095873848,0.12537023909371037,-0.042498609863040215,4.169716095873848,-0.0003742060952980353,-0.0003742060952980353,4.169716095873848,-0.019823540988897825,-0.015350589451744057,4.169716095873848,2.5900092248912125,-1.6738786779847938,4.169716095873848,2.1836957161872914,-0.3282055847702168,4.169716095873848,0.10294784580498866,0.05018007202881152
cremad,43,1,0.0,True,True,0.0,0.0,34,508.5,0.5977733686067019,0.5955432563531592,0.5975609756097561,0.15879418652427635,-0.051473878072463286,4.169925001442313,0.18127230334254563,-0.05188497191210306,4.169925001442313,-0.0003594441629237721,-0.0003594441629237721,4.169925001442313,-0.01827005180624308,-0.019004755958044406,4.169925001442313,2.068119079650787,-1.4004419203022591,4.169925001442313,1.8164671112232207,-0.30433405865414365,4.169925001442313,0.12686230248306996,0.07550126145266231
cremad,43,2,0.0,True,True,0.0,0.0,37,508.0,0.6251968746154792,0.6214321590762288,0.6237288135593221,0.14444606916780067,-0.043840014216118384,4.1699193444441836,0.09870423003358386,-0.025789079154360017,4.1699193444441836,-0.000354491053574435,-0.00035449105357621136,4.1699193444441836,-0.018107654711140064,-0.017502153776769447,4.1699193444441836,2.146279572164533,-1.4448891849738397,4.1699193444441836,1.97590960422845,-0.25550613566436375,4.1699193444441836,0.09571106094808127,0.04251759394502723
cremad,43,3,0.0,True,True,0.0,0.0,37,512.3,0.6369385997292974,0.6350906905268475,0.6338983050847458,0.09644449422863843,-0.035874930642761704,4.1699193444441836,0.05680429838219414,-0.04535725359083376,4.1699193444441836,-0.00035449105357621136,-0.00035449105357621136,4.1699193444441836,-0.019155197985475603,-0.019907112687139517,4.1699193444441836,2.296526486636653,-1.4080432006672892,4.1699193444441836,2.1020601580451213,-0.23052334548540365,4.1699193444441836,0.10383747178329569,0.05112202894701897
cremad,43,4,0.0,True,True,0.0,0.0,34,508.0,0.6209439528023598,0.6204537689086908,0.6183699870633894,0.16264507073642687,-0.061251272229280396,4.247550686408009,0.08156094233049771,-0.030008143263885678,4.247550686408009,-0.0003706923243633753,-0.0003702478358373895,4.247550686408009,-0.012360573250116857,-0.007476780925352422,4.247550686408009,2.178442965460435,-1.6600995601409503,4.247550686408009,2.0126909417337187,-0.2108221936555159,4.247550686408009,0.0875,0.03680555555555555
cremad,43,5,0.0,True,True,0.0,0.0,37,517.0,0.5766607986658019,0.5714512591724811,0.573469387755102,0.1509081470606617,-0.056380379613204745,4.169716095873848,0.13824261144677497,-0.031858392083189635,4.169716095873848,-0.0003742060952980353,-0.0003742060952980353,4.169716095873848,-0.017232594322853956,-0.01909146538686901,4.169716095873848,2.2141444026235515,-1.3685926861437885,4.169716095873848,1.915507699238257,-0.2827138963770759,4.169716095873848,0.11564625850340135,0.06362545018007203
