dataset,mode,no_style,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_linear_mi_lb_bits,c_aff_linear_control_bits,c_aff_linear_entropy_bits,c_aff_mlp_mi_lb_bits,c_aff_mlp_control_bits,c_aff_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
cremad,cmn,True,42,1,0.0,11,387.1,0.7493386243386243,0.7448552447451866,0.7459349593495935,0.04117014983327216,-0.04984626775332757,4.169925001442313,0.04366202993222057,-0.04913879073640093,4.169925001442313,3.2799297980260884,-5.309894517705598,4.169925001442313,2.9874196847828047,-0.5592003848554254,4.169925001442313
cremad,cmn,True,42,3,0.0,8,385.6,0.73406238464378,0.7277443369521602,0.7294915254237289,0.011911013242083435,-0.06203934423686963,4.1699193444441836,0.015312052113427121,-0.05822703432812926,4.1699193444441836,3.219218036922637,-5.221823726603132,4.1699193444441836,2.790530826751789,-0.8160064714188406,4.1699193444441836
cremad,cmn,True,42,5,0.0,12,372.3,0.7150128169492572,0.7093292157375081,0.7115646258503401,0.030653812797775792,-0.0643969473043553,4.169716095873848,0.00672860003881226,-0.03836784780668623,4.169716095873848,3.080713405356102,-5.336232847769364,4.169716095873848,2.673112420970675,-0.8544889239952385,4.169716095873848
cremad,cmn,True,43,1,0.0,7,345.3,0.744268077601411,0.7389890128441744,0.7398373983739838,0.029008822919585064,-0.06624261467833037,4.169925001442313,0.016011607944138362,-0.04348169138944158,4.169925001442313,3.219754571618776,-5.396314367366835,4.169925001442313,2.810608516371989,-1.075167059766481,4.169925001442313
cremad,cmn,True,43,3,0.0,9,376.2,0.7840070136581764,0.7801939396302139,0.7803389830508475,0.008913346341793194,-0.04064481410390908,4.1699193444441836,-0.008740906574985274,-0.020734878420944014,4.1699193444441836,3.2775430814848643,-5.363908831813955,4.1699193444441836,2.8328458718644867,-0.5387992509759831,4.1699193444441836
cremad,cmn,True,43,5,0.0,10,378.0,0.7245344204577041,0.7178288597010454,0.7204081632653061,0.010784790237285513,-0.0562663014748388,4.169716095873848,0.018356695935637823,-0.03822166569250651,4.169716095873848,3.3486933685718716,-5.275979328520493,4.169716095873848,2.874029718548839,-0.8074975627542305,4.169716095873848
cremad,cmn,True,44,1,0.0,9,372.5,0.7487874779541447,0.7428690908060765,0.744579945799458,0.06815549954410471,-0.06421207256196926,4.169925001442313,0.053445899393216756,-0.04780021887246466,4.169925001442313,3.0400457341280513,-5.219861521511873,4.169925001442313,2.610755543839269,-0.9606181365574811,4.169925001442313
cremad,cmn,True,44,3,0.0,10,363.8,0.7857850375292236,0.7813512057314091,0.7816949152542373,-0.0014642681174290573,-0.0447113821651719,4.1699193444441836,-0.0007999628977088946,-0.02280370521819819,4.1699193444441836,3.458918526271004,-5.724221841665894,4.1699193444441836,3.0266152150681913,-0.8810991049583965,4.1699193444441836
cremad,cmn,True,44,5,0.0,12,269.3,0.7105901973501343,0.7009146767514668,0.7061224489795919,0.0764485535990973,-0.04478686148253086,4.169716095873848,0.05758455140062857,-0.03191047138165537,4.169716095873848,3.322401608164545,-5.673187733870395,4.169716095873848,2.9000973876672633,-0.6610214042554858,4.169716095873848
