dataset,mode,no_style,encoder_lr,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_linear_mi_lb_bits,c_aff_linear_control_bits,c_aff_linear_entropy_bits,c_aff_mlp_mi_lb_bits,c_aff_mlp_control_bits,c_aff_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
cremad,cmn,True,1e-05,42,1,0.0,11,390.5,0.7465828924162258,0.7447889094061176,0.7439024390243902,0.03309918741583484,-0.05771006810088686,4.169925001442313,0.034718849599824075,-0.05904907133246606,4.169925001442313,3.2995763815436447,-5.34394971667207,4.169925001442313,3.024082744995532,-0.6534406214203603,4.169925001442313
cremad,cmn,True,1e-05,42,3,0.0,9,388.6,0.739651778023871,0.7358435488018203,0.736271186440678,0.005854398031144292,-0.05491904257981339,4.1699193444441836,0.012106278598252196,-0.0513056660309994,4.1699193444441836,2.5178314613787864,-5.230299082711609,4.1699193444441836,2.202733063032386,-0.5700373632963114,4.1699193444441836
cremad,cmn,True,1e-05,42,5,0.0,8,388.7,0.6789246116309954,0.6742604193721089,0.6768707482993197,0.06465430992104615,-0.056114968161638856,4.169716095873848,0.03395068087817066,-0.045169964120297834,4.169716095873848,3.460976118802737,-5.193836678298147,4.169716095873848,3.118799439346225,-0.685740752981471,4.169716095873848
cremad,cmn,True,1e-05,43,1,0.0,10,386.7,0.7522045855379189,0.7484284068159033,0.7486449864498645,0.046638975883037226,-0.06237366885648932,4.169925001442313,0.03318476535731918,-0.04887865313445072,4.169925001442313,3.291955157769639,-5.6291865724571,4.169925001442313,2.9263152685904465,-0.9273723261948694,4.169925001442313
cremad,cmn,True,1e-05,43,3,0.0,10,384.9,0.7633905500184571,0.758585372488846,0.7593220338983051,0.0007332879792159019,-0.04280203914639724,4.1699193444441836,-0.004597229335625563,-0.03401634114808072,4.1699193444441836,3.2861324980714812,-5.536004316402879,4.1699193444441836,2.8317787298104102,-0.8103514267075349,4.1699193444441836
cremad,cmn,True,1e-05,43,5,0.0,7,352.1,0.6905556070292475,0.6846018722065205,0.6863945578231293,0.04570906380293227,-0.05588016925643302,4.169716095873848,0.01885144882351497,-0.045441965307725596,4.169716095873848,3.3336897339365694,-5.557698477048855,4.169716095873848,2.90773282988963,-0.8802870255467594,4.169716095873848
cremad,cmn,True,1e-05,44,1,0.0,11,375.2,0.7390873015873015,0.7340111326403284,0.7357723577235772,0.04779130820326216,-0.06357670008531091,4.169925001442313,0.029922904557346364,-0.03174084443807246,4.169925001442313,3.2392786777875067,-5.266826258093498,4.169925001442313,2.839775341375844,-0.7869950532816761,4.169925001442313
cremad,cmn,True,1e-05,44,3,0.0,9,373.8,0.776802633197982,0.7752679034920287,0.7742372881355932,0.018309355911247494,-0.06122778028792819,4.1699193444441836,0.013374645029749388,-0.02106511683970247,4.1699193444441836,3.572768436265391,-5.6598482960052525,4.1699193444441836,3.1665399147210636,-0.7350962773526124,4.1699193444441836
cremad,cmn,True,1e-05,44,5,0.0,12,305.3,0.7053862071095462,0.6977591827689329,0.7013605442176871,0.057294807366370826,-0.03844631167245538,4.169716095873848,0.03705382399055068,-0.03277192511190208,4.169716095873848,3.2859317772882584,-5.5996134301467615,4.169716095873848,2.8502448455584553,-0.5900677500168756,4.169716095873848
