dataset,mode,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
cremad,plain,42,1,0.0,4,252.2,0.6840828924162258,0.673205726299976,0.6788617886178862,3.2128710036394774,-5.0361432751371025,4.169925001442313,2.852687275435305,-0.5281451053008102,4.169925001442313
cremad,plain,42,3,0.0,12,402.4,0.723443460071367,0.7246268908637314,0.7233898305084746,3.113077833799042,-5.11619183251187,4.1699193444441836,2.784588699663855,-0.7463811866547552,4.1699193444441836
cremad,plain,42,5,0.0,12,412.1,0.6936563822230458,0.6863504778793765,0.6891156462585034,3.0240394322539563,-5.239022451927357,4.169716095873848,2.635026350490117,-0.5589211735857464,4.169716095873848
cremad,plain,43,1,0.0,6,345.5,0.7081128747795415,0.7061985753836669,0.7066395663956639,3.1259643032759508,-4.7197164170620995,4.169925001442313,2.817028267944697,-0.6345603763762337,4.169925001442313
cremad,plain,43,3,0.0,11,388.7,0.7350929002091794,0.7344290673994786,0.7328813559322034,3.1371239373971553,-5.050429002233345,4.1699193444441836,2.770881621980764,-0.5582632370119889,4.1699193444441836
cremad,plain,43,5,0.0,10,397.1,0.6881157540381112,0.6864651596087382,0.6850340136054421,3.1751964868437303,-5.250974985679485,4.169716095873848,2.8489292339033474,-0.5195615900546962,4.169716095873848
cremad,plain,44,1,0.0,5,311.7,0.6926807760141093,0.6849671372390883,0.6883468834688347,3.130936906533675,-5.086150532646333,4.169925001442313,2.7744880770638067,-0.5180919969128812,4.169925001442313
cremad,plain,44,3,0.0,12,411.3,0.7152731635289776,0.7114081397999601,0.711864406779661,2.974955079276793,-5.058136653584446,4.1699193444441836,2.668354703560078,-0.5977088316279326,4.1699193444441836
cremad,plain,44,5,0.0,7,338.3,0.6878995645325675,0.6815717402016785,0.6836734693877551,3.205068135412208,-4.915244356606851,4.169716095873848,2.895407434872853,-0.5248940273102667,4.169716095873848
