dataset,mode,no_style,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,delta_linear_mi_lb_bits,delta_linear_control_bits,delta_linear_entropy_bits,delta_mlp_mi_lb_bits,delta_mlp_control_bits,delta_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
cremad,operator,False,42,1,0.0,12,462.0,0.7368827160493828,0.7306139194907569,0.733739837398374,-0.011472454894859041,-0.050841856649086026,4.169925001442313,-0.004032203797782685,-0.049261586523587475,4.169925001442313,-1.747996084450377,-1.0931703146013456,4.169925001442313,3.3216543795113167,-0.2776313619364874,4.169925001442313,3.34673068264985,-5.152111257203422,4.169925001442313,2.909989495891794,-0.6958395152907988,4.169925001442313
cremad,operator,False,42,3,0.0,12,460.5,0.7656730650916698,0.7608355334461178,0.7627118644067796,-0.01660209750488839,-0.06316216015700515,4.1699193444441836,-0.0401070366521985,-0.031854122715615496,4.1699193444441836,-2.2294696930347593,-1.5967240414152588,4.1699193444441836,2.9033781920928887,-0.46826206126246994,4.1699193444441836,3.278824985857526,-5.9034964073880225,4.1699193444441836,3.0225758255148296,-1.0000936731225991,4.1699193444441836
cremad,operator,False,42,5,0.0,10,452.7,0.7178943142160041,0.7097865007087424,0.7136054421768707,0.06390217513700236,-0.06228532037479528,4.169716095873848,-0.013413788971630147,-0.051572609721121765,4.169716095873848,-1.444842542409602,-1.0186992084468693,4.169716095873848,3.309763957624098,-0.28354779227177485,4.169716095873848,3.535512622435579,-5.117224204015369,4.169716095873848,3.160920239294229,-0.6030976396818106,4.169716095873848
cremad,operator,False,43,1,0.0,7,423.5,0.7434964726631393,0.7343466354798025,0.7384823848238482,-0.039881076544339145,-0.05848697208610698,4.169925001442313,0.03745055294145594,-0.05177942658022516,4.169925001442313,-2.052339117845805,-1.0974442939605318,4.169925001442313,3.2428577781510723,-0.29106506992478476,4.169925001442313,3.2657742902631464,-5.383700677804822,4.169925001442313,2.889781522378363,-0.8663742819922255,4.169925001442313
cremad,operator,False,43,3,0.0,11,455.1,0.7718315491571305,0.7701465664321369,0.7694915254237288,-0.02996353499070281,-0.03285143129365764,4.1699193444441836,-0.04200688363638605,-0.04257180580691422,4.1699193444441836,-2.282982906935442,-1.5528877988162728,4.1699193444441836,2.8113447903518347,-0.44779869678722584,4.1699193444441836,3.221286660806253,-5.666913621865051,4.1699193444441836,2.9583324605881387,-0.7302717469713578,4.1699193444441836
cremad,operator,False,43,5,0.0,10,455.2,0.7088174434046759,0.7032328804435845,0.7047619047619048,-0.018059872275477673,-0.0662081835775492,4.169716095873848,-0.016933166676333933,-0.05295673003136869,4.169716095873848,-2.1205193992070095,-1.2671758334065641,4.169716095873848,3.1608085773072023,-0.28492847363679186,4.169716095873848,3.067588782791195,-5.373824797742617,4.169716095873848,2.8318323859099785,-0.972271997645783,4.169716095873848
cremad,operator,False,44,1,0.0,12,456.8,0.7437169312169313,0.7413714925588434,0.741869918699187,-0.035487717950391406,-0.06242953580435362,4.169925001442313,0.03023689493248405,-0.03352259336828123,4.169925001442313,-2.833845088759114,-1.5546546379641732,4.169925001442313,3.1470657875180734,-0.3176154061717327,4.169925001442313,3.0811140016840195,-5.504125185751879,4.169925001442313,2.7494772080287913,-0.8694251549696714,4.169925001442313
cremad,operator,False,44,3,0.0,11,457.3,0.7857419712070874,0.7832386786221114,0.7830508474576271,-0.016001628899545928,-0.06298847970750376,4.1699193444441836,-0.02294633192004092,-0.025684461642619283,4.1699193444441836,-2.524006723211052,-1.463762404967781,4.1699193444441836,2.8814591725833774,-0.28269234830919565,4.1699193444441836,3.3517426591310797,-6.042926322062238,4.1699193444441836,3.0682222326838975,-0.6229864540653871,4.1699193444441836
cremad,operator,False,44,5,0.0,9,331.9,0.695870780444115,0.6855528604689023,0.691156462585034,-0.004044188247735114,-0.06295044133657957,4.169716095873848,0.027501211919330082,-0.03958432968634895,4.169716095873848,-1.7232891309174665,-1.0769790957037157,4.169716095873848,3.3565415141243897,-0.3321183296220296,4.169716095873848,3.222682261579048,-5.532212823360603,4.169716095873848,2.9499894483080933,-0.8230870219679751,4.169716095873848
