dataset,mode,no_style,encoder_lr,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_linear_mi_lb_bits,c_aff_linear_control_bits,c_aff_linear_entropy_bits,c_aff_mlp_mi_lb_bits,c_aff_mlp_control_bits,c_aff_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
cremad,cmn,True,0.0,42,1,0.0,12,395.7,0.4844576719576719,0.45126149940493526,0.481029810298103,0.06447640733981164,-0.027676094317794053,4.169925001442313,0.06383817507479961,-0.050249843576612996,4.169925001442313,3.077822536751323,-5.053109898652003,4.169925001442313,2.6240581709813267,-0.7829718506224816,4.169925001442313
cremad,cmn,True,0.0,42,3,0.0,9,392.7,0.493035560477421,0.45004693119647743,0.488135593220339,0.13166422704443814,-0.04755347628178708,4.1699193444441836,0.09931388139115693,-0.052028147502007016,4.1699193444441836,3.1591724978682434,-5.186248112443282,4.1699193444441836,2.7606636322515414,-0.7694809690834914,4.1699193444441836
cremad,cmn,True,0.0,42,5,0.0,9,399.5,0.44693783007504867,0.42068669188858215,0.4448979591836735,0.14362125641105372,-0.03200685315303975,4.169716095873848,0.13143268573376243,-0.036950070613427144,4.169716095873848,3.1792210168243407,-4.968485111062168,4.169716095873848,2.708262220468935,-0.8730463978031713,4.169716095873848
cremad,cmn,True,0.0,43,1,0.0,9,395.5,0.4898589065255732,0.4643844616684351,0.48712737127371275,0.12264866296034782,-0.03974485341051981,4.169925001442313,0.11546901034934987,-0.03933808105880576,4.169925001442313,3.065152057677598,-4.838570278981371,4.169925001442313,2.656988866879531,-0.633572706550324,4.169925001442313
cremad,cmn,True,0.0,43,3,0.0,8,389.6,0.5119662852220993,0.48679562178062663,0.5084745762711864,0.15955453212556758,-0.03847788892729387,4.1699193444441836,0.16974851768668842,-0.036675612686744685,4.1699193444441836,3.166107513403526,-5.356556557595411,4.1699193444441836,2.740147870773133,-0.5574024035596148,4.1699193444441836
cremad,cmn,True,0.0,43,5,0.0,12,390.3,0.47239877698508287,0.45419671530662437,0.46938775510204084,0.18892914587331866,-0.04868476813012368,4.169716095873848,0.09672892013988754,-0.05042659731320587,4.169716095873848,3.1892302201901725,-4.965681943976288,4.169716095873848,2.7407746737933203,-0.6064693684237987,4.169716095873848
cremad,cmn,True,0.0,44,1,0.0,10,398.9,0.4969135802469135,0.46059724401724383,0.4932249322493225,0.06536772346427266,-0.05360348913954027,4.169925001442313,0.09380708348794364,-0.03954323026046769,4.169925001442313,3.0593383007374078,-4.772795480047226,4.169925001442313,2.5668858693367596,-0.9443442385326026,4.169925001442313
cremad,cmn,True,0.0,44,3,0.0,12,399.3,0.5197889750215331,0.4910537669034749,0.5166101694915254,0.08363924223931019,-0.023293761485010833,4.1699193444441836,0.08769798082065172,-0.02264175874738772,4.1699193444441836,3.213223887180325,-4.932769978807494,4.1699193444441836,2.785189872355663,-0.7482372108714008,4.1699193444441836
cremad,cmn,True,0.0,44,5,0.0,12,312.2,0.4743753667500541,0.46244843675682823,0.4748299319727891,0.10512045648607682,-0.035681400932038976,4.169716095873848,0.10927272580396075,-0.050178151534033155,4.169716095873848,3.186467403435786,-4.921384106925816,4.169716095873848,2.7575622237665938,-0.6985867981409948,4.169716095873848
