dataset,mode,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_linear_mi_lb_bits,c_aff_linear_control_bits,c_aff_linear_entropy_bits,c_aff_mlp_mi_lb_bits,c_aff_mlp_control_bits,c_aff_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
cremad,factor,42,1,0.0,10,383.4,0.7040343915343915,0.69583955101732,0.6991869918699187,0.12085321747788136,-0.05297164757442374,4.169925001442313,0.06882237232746213,-0.049577339545426646,4.169925001442313,3.3177632614329418,-5.42296997503374,4.169925001442313,2.9311878927773014,-0.7598845170069426,4.169925001442313
cremad,factor,42,3,0.0,10,382.6,0.6954380460194414,0.6957294476202615,0.6949152542372882,0.08987825721501075,-0.03465417030160811,4.1699193444441836,0.07783721946564715,-0.044542004475069064,4.1699193444441836,3.453380002122586,-5.843312844586814,4.1699193444441836,3.1991000186132625,-0.5772892082793843,4.1699193444441836
cremad,factor,42,5,0.0,12,377.8,0.6763890175731184,0.6687248807404133,0.672108843537415,0.20240120321378985,-0.041502708854318726,4.169716095873848,0.15273648933751982,-0.024677419289057312,4.169716095873848,3.397051119994524,-5.631894538740878,4.169716095873848,3.0692459977952455,-0.449653755373407,4.169716095873848
cremad,factor,43,1,0.0,9,376.0,0.6773589065255732,0.6707856815619834,0.674119241192412,0.11974203466311018,-0.0487362346010487,4.169925001442313,0.0846707045273245,-0.04617374728640744,4.169925001442313,3.0540665300567067,-5.222087797816614,4.169925001442313,2.813561450197332,-0.7270431901113499,4.169925001442313
cremad,factor,43,3,0.0,12,382.8,0.7072505229481975,0.707487450179404,0.7064406779661017,0.10576091665775067,-0.04084547045949005,4.1699193444441836,0.06104878697028138,-0.03419644866314275,4.1699193444441836,3.3140318360590006,-5.573978269313523,4.1699193444441836,3.0398811868358275,-0.6216694961451275,4.1699193444441836
cremad,factor,43,5,0.0,11,382.4,0.6708545662311991,0.6625566810623266,0.6666666666666666,0.16339956888988816,-0.04237971403914731,4.169716095873848,0.15219236274691728,-0.03487250565049038,4.169716095873848,3.4214668997728364,-5.325101157641796,4.169716095873848,3.1185383860113953,-1.1052972182555063,4.169716095873848
cremad,factor,44,1,0.0,10,381.9,0.6891534391534392,0.6845920762183683,0.6849593495934959,0.13574554387596383,-0.05337688468559687,4.169925001442313,0.10283463278367755,-0.04448423224147291,4.169925001442313,3.2311880073925163,-5.516214467229623,4.169925001442313,2.897449471557083,-1.1214072176562224,4.169925001442313
cremad,factor,44,3,0.0,9,391.3,0.70234403839055,0.7005242023080499,0.6996610169491525,0.0964447905672623,-0.05509257443336146,4.1699193444441836,0.056829491114053,-0.029481521092960428,4.1699193444441836,3.2914448249626274,-5.614275014606484,4.1699193444441836,2.9755760778852185,-0.9913537132418542,4.1699193444441836
cremad,factor,44,5,0.0,9,308.6,0.6733994255535997,0.6653729454318648,0.6693877551020408,0.18631679378078303,-0.02140317761305166,4.169716095873848,0.1645405656823664,-0.02669975895024379,4.169716095873848,3.1201888720630713,-5.0198105982184815,4.169716095873848,2.827639782231472,-0.7318859407353209,4.169716095873848
