dataset,seed,fold,k,lam,lam_star,is_lam_star,centered,tau2,within,test_uar,test_acc,leak_bits,control_bits
ravdess,49,1,1,0.1818,0.1818,1,1,10.587,47.6503,0.39687500000000003,0.3933333333333333,0.20359880625799898,-0.06138108764648864
ravdess,49,1,1,0.0,0.1818,0,1,10.587,47.6503,0.36875,0.36333333333333334,0.29817246544018516,-0.06600290283810573
ravdess,49,1,1,0.1,0.1818,0,1,10.587,47.6503,0.3875,0.38333333333333336,0.24563157591253848,-0.0638597773613192
ravdess,49,1,1,0.2,0.1818,0,1,10.587,47.6503,0.39687500000000003,0.3933333333333333,0.19438187297248088,-0.06065792781501189
ravdess,49,1,1,0.3,0.1818,0,1,10.587,47.6503,0.40312499999999996,0.39666666666666667,0.14376210578032556,-0.055442617358938406
ravdess,49,1,1,0.5,0.1818,0,1,10.587,47.6503,0.396875,0.38,0.0550491605377843,-0.04955715228089108
ravdess,49,1,1,0.7,0.1818,0,1,10.587,47.6503,0.34687500000000004,0.33,-0.0006493236894740129,-0.05306021278019557
ravdess,49,1,1,1.0,0.1818,0,1,10.587,47.6503,0.315625,0.2966666666666667,-0.0006059528346131771,-0.06748843267146487
ravdess,49,1,2,0.3077,0.3077,1,1,10.587,47.6503,0.40312500000000007,0.3933333333333333,0.16387140986126392,-0.0616163821154907
ravdess,49,1,2,0.0,0.3077,0,1,10.587,47.6503,0.36875,0.36333333333333334,0.29817246544018516,-0.06600290283810573
ravdess,49,1,2,0.1,0.3077,0,1,10.587,47.6503,0.38749999999999996,0.38333333333333336,0.25378393839965563,-0.06489855714388959
ravdess,49,1,2,0.2,0.3077,0,1,10.587,47.6503,0.3875,0.38333333333333336,0.2095905886825511,-0.0631714315989158
ravdess,49,1,2,0.3,0.3077,0,1,10.587,47.6503,0.40625,0.39666666666666667,0.1670975146259437,-0.06171820679430029
ravdess,49,1,2,0.5,0.3077,0,1,10.587,47.6503,0.4125,0.4,0.08793342793917613,-0.06004597376627219
ravdess,49,1,2,0.7,0.3077,0,1,10.587,47.6503,0.403125,0.3933333333333333,0.02225718415654887,-0.0629311499521239
ravdess,49,1,2,1.0,0.3077,0,1,10.587,47.6503,0.38125000000000003,0.37,-0.026989020025317778,-0.0658370714562877
ravdess,49,1,5,0.5263,0.5263,1,1,10.587,47.6503,0.440625,0.43,0.07483532018174799,-0.04810921124116874
ravdess,49,1,5,0.0,0.5263,0,1,10.587,47.6503,0.36875,0.36333333333333334,0.29817246544018516,-0.06600290283810573
ravdess,49,1,5,0.1,0.5263,0,1,10.587,47.6503,0.3875,0.38333333333333336,0.2507296851264451,-0.06405691332172836
ravdess,49,1,5,0.2,0.5263,0,1,10.587,47.6503,0.409375,0.4033333333333333,0.20505838004802568,-0.06096103954878007
ravdess,49,1,5,0.3,0.5263,0,1,10.587,47.6503,0.425,0.42,0.16140970554362744,-0.05707998133251735
ravdess,49,1,5,0.5,0.5263,0,1,10.587,47.6503,0.43124999999999997,0.42,0.08400717509686828,-0.049062349412608786
ravdess,49,1,5,0.7,0.5263,0,1,10.587,47.6503,0.44375000000000003,0.43,0.022215451439305145,-0.044324655030581805
ravdess,49,1,5,1.0,0.5263,0,1,10.587,47.6503,0.45,0.4266666666666667,-0.0244164498154964,-0.04574494166622767
ravdess,49,1,10,0.6896,0.6896,1,1,10.587,47.6503,0.425,0.4166666666666667,0.024092041403111164,-0.027927793963904435
ravdess,49,1,10,0.0,0.6896,0,1,10.587,47.6503,0.36875,0.36333333333333334,0.29817246544018516,-0.06600290283810573
ravdess,49,1,10,0.1,0.6896,0,1,10.587,47.6503,0.39375,0.39,0.24715457061754753,-0.06189183615026472
ravdess,49,1,10,0.2,0.6896,0,1,10.587,47.6503,0.39375,0.39,0.19873763049358173,-0.056630304876432724
ravdess,49,1,10,0.3,0.6896,0,1,10.587,47.6503,0.40625,0.4033333333333333,0.15371813381883115,-0.05037145079250083
ravdess,49,1,10,0.5,0.6896,0,1,10.587,47.6503,0.415625,0.41,0.07717796444324065,-0.03688099236866993
ravdess,49,1,10,0.7,0.6896,0,1,10.587,47.6503,0.425,0.4166666666666667,0.02177529937760747,-0.02760245918236448
ravdess,49,1,10,1.0,0.6896,0,1,10.587,47.6503,0.446875,0.43333333333333335,-0.019252206303819186,-0.02429481105390696
ravdess,49,1,20,0.8163,0.8163,1,1,10.587,47.6503,0.4625,0.44666666666666666,-0.007545331778376241,-0.03214825735966942
ravdess,49,1,20,0.0,0.8163,0,1,10.587,47.6503,0.36875,0.36333333333333334,0.29817246544018516,-0.06600290283810573
ravdess,49,1,20,0.1,0.8163,0,1,10.587,47.6503,0.38749999999999996,0.38333333333333336,0.24755978498145303,-0.06215527082850558
ravdess,49,1,20,0.2,0.8163,0,1,10.587,47.6503,0.40625,0.4033333333333333,0.19941909384823786,-0.0575775121189972
ravdess,49,1,20,0.3,0.8163,0,1,10.587,47.6503,0.409375,0.4066666666666667,0.1531526515103958,-0.05227322681919411
ravdess,49,1,20,0.5,0.8163,0,1,10.587,47.6503,0.459375,0.45,0.07390389186133595,-0.041932830515029273
ravdess,49,1,20,0.7,0.8163,0,1,10.587,47.6503,0.46249999999999997,0.45,0.0155510709307487,-0.03416932337259704
ravdess,49,1,20,1.0,0.8163,0,1,10.587,47.6503,0.46562499999999996,0.45,-0.027570371446340225,-0.03341811720468968
