pos,seed,fold,tau2,within,protocol,draw,k,lam,lam_star,is_lam_star,test_uar,test_acc,n_rows,leak_bits,control_bits,leak_mlp_bits,control_mlp_bits,dataset
4,53,4,21.2409,130.9143,fixed,0,1,0.1396,0.1396,1,0.5756154246832109,0.5046040515653776,543,0.08622932375932724,-0.004375418676301646,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,1,0.0,0.1396,0,0.5923309983557509,0.5230202578268877,543,0.02890670298548048,-0.004604798522011677,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,1,0.1,0.1396,0,0.5822490735884465,0.5119705340699816,543,0.06549504104001724,-0.004434295832245638,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,1,0.2,0.1396,0,0.5702572859820572,0.4990791896869245,543,0.12349818948409907,-0.004078247899909515,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,1,0.3,0.1396,0,0.5717956990050412,0.5009208103130756,543,0.19811389535244817,-0.0035690594102415485,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,1,0.5,0.1396,0,0.5652047745741107,0.49355432780847147,543,0.38706662658189905,-0.002297913221232406,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,1,0.7,0.1396,0,0.5553153796489317,0.4843462246777164,543,0.5918091916528077,-0.000314275064930869,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,1,1.0,0.1396,0,0.5286086689880898,0.4585635359116022,543,0.8413024503986548,8.236273926742754e-05,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,2,0.245,0.245,1,0.5842361143383834,0.5138121546961326,543,0.07100025341984328,-0.004918312382171441,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,2,0.0,0.245,0,0.5923309983557509,0.5230202578268877,543,0.02890670298548048,-0.004604798522011677,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,2,0.1,0.245,0,0.5874214873815499,0.5174953959484346,543,0.04261101102868159,-0.004630973079890577,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,2,0.2,0.245,0,0.5837874866114305,0.5138121546961326,543,0.06129257799186372,-0.004833015136839425,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,2,0.3,0.245,0,0.5761412303210158,0.5046040515653776,543,0.08388110177315666,-0.004999214246338646,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,2,0.5,0.245,0,0.5858517052722194,0.5156537753222836,543,0.14002371098660749,-0.00603143270348272,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,2,0.7,0.245,0,0.5715441515740974,0.5009208103130756,543,0.20597965793038808,-0.006511524243152822,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,2,1.0,0.245,0,0.5573773438295292,0.48250460405156537,543,0.3073841647257912,-0.006501326046658873,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,5,0.4479,0.4479,1,0.5809735633843648,0.5101289134438306,543,0.06103531327892442,-0.0047384395444611815,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,5,0.0,0.4479,0,0.5923309983557509,0.5230202578268877,543,0.02890670298548048,-0.004604798522011677,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,5,0.1,0.4479,0,0.5899657028556381,0.5193370165745856,543,0.032560254806230926,-0.004595343551897724,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,5,0.2,0.4479,0,0.5863317020855187,0.5156537753222836,543,0.03821170375049421,-0.004591601223828068,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,5,0.3,0.4479,0,0.5833320539504026,0.5119705340699816,543,0.04605364700801762,-0.004594317403151971,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,5,0.5,0.4479,0,0.5883015161171822,0.5174953959484346,543,0.06733467412174143,-0.004799178759258282,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,5,0.7,0.4479,0,0.5904570550568959,0.5193370165745856,543,0.09598514129250213,-0.005062154709338795,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,5,1.0,0.4479,0,0.5817037867521765,0.5082872928176796,543,0.15130005567421778,-0.005468379500822129,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,10,0.6187,0.6187,1,0.5830759560655752,0.5138121546961326,543,0.06361702724459528,-0.004674827535973369,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,10,0.0,0.6187,0,0.5923309983557509,0.5230202578268877,543,0.02890670298548048,-0.004604798522011677,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,10,0.1,0.6187,0,0.5901582326977636,0.5211786372007366,543,0.03145181443204381,-0.004583975029840204,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,10,0.2,0.6187,0,0.5854344466316129,0.5156537753222836,543,0.035175923860674585,-0.004561107847149692,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,10,0.3,0.6187,0,0.5832616809736256,0.5138121546961326,543,0.0401356180986715,-0.004579736977902149,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,10,0.5,0.6187,0,0.5809031904075879,0.5119705340699816,543,0.0535941412024028,-0.004650829503135778,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,10,0.7,0.6187,0,0.5830759560655752,0.5138121546961326,543,0.07141183810758178,-0.004677972579263168,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,10,1.0,0.6187,0,0.5871481627784491,0.5193370165745856,543,0.10584395693556237,-0.004585296376781622,,,iemocap
4,53,4,21.2409,130.9143,fixed,0,-1,0.9778,0.9778,1,0.5980369148309942,0.5414364640883977,543,0.014241291987139304,-0.0063451716006670544,0.018907317033635684,-0.005146973294710477,iemocap
