dataset,seed,fold,k,lam,lam_star,is_lam_star,is_matrix,tau2,within,test_uar,test_acc,leak_bits,control_bits
cremad,50,1,1,0.0,0.136,0,0,5.6175,35.6964,0.46086860670194,0.4627371273712737,0.3871310521330482,-0.049010765094473996
cremad,50,1,1,0.1,0.136,0,0,5.6175,35.6964,0.4858906525573192,0.4878048780487805,0.3049510340603585,-0.05020759372514583
cremad,50,1,1,0.136,0.136,1,0,5.6175,35.6964,0.4939373897707231,0.4959349593495935,0.2759635086317096,-0.05068909110747288
cremad,50,1,1,0.2,0.136,0,0,5.6175,35.6964,0.5112433862433862,0.5128726287262872,0.22659688026069036,-0.05172210912192643
cremad,50,1,1,0.3,0.136,0,0,5.6175,35.6964,0.5318562610229277,0.5331978319783198,0.15723124348390893,-0.05424509991405202
cremad,50,1,1,0.5,0.136,0,0,5.6175,35.6964,0.5424382716049383,0.5433604336043361,0.05192296000140484,-0.06032382250526158
cremad,50,1,1,0.7,0.136,0,0,5.6175,35.6964,0.5335097001763668,0.5338753387533876,-0.011894784371426326,-0.0658372494143542
cremad,50,1,1,1.0,0.136,0,0,5.6175,35.6964,0.45723104056437397,0.4573170731707317,-0.04144554998499217,-0.06933430256294404
cremad,50,1,1,0.026093155917779682,0.136,0,1,5.6175,35.6964,0.5231481481481481,0.5257452574525745,0.22673110333320068,-0.0505315995814426
cremad,50,1,2,0.0,0.2394,0,0,5.6175,35.6964,0.46086860670194,0.4627371273712737,0.3871310521330482,-0.049010765094473996
cremad,50,1,2,0.1,0.2394,0,0,5.6175,35.6964,0.49239417989417983,0.49390243902439024,0.3044563143815471,-0.04926838049011284
cremad,50,1,2,0.2,0.2394,0,0,5.6175,35.6964,0.519510582010582,0.5203252032520326,0.2266690375025977,-0.05014572630429903
cremad,50,1,2,0.2394,0.2394,1,0,5.6175,35.6964,0.5291005291005291,0.5298102981029811,0.19836836821925585,-0.05086778257780811
cremad,50,1,2,0.3,0.2394,0,0,5.6175,35.6964,0.5382495590828924,0.5386178861788617,0.1578785368870177,-0.05216041092123902
cremad,50,1,2,0.5,0.2394,0,0,5.6175,35.6964,0.5616181657848324,0.5623306233062331,0.05248657982259797,-0.05645345177971617
cremad,50,1,2,0.7,0.2394,0,0,5.6175,35.6964,0.5695546737213404,0.5697831978319783,-0.012610283789903143,-0.061846476993817845
cremad,50,1,2,1.0,0.2394,0,0,5.6175,35.6964,0.5378086419753086,0.537940379403794,-0.04851907231785191,-0.06804014900506417
cremad,50,1,2,0.042810042403282816,0.2394,0,1,5.6175,35.6964,0.5535714285714285,0.5548780487804879,0.17190224100411333,-0.052677688661129984
cremad,50,1,5,0.0,0.4404,0,0,5.6175,35.6964,0.46086860670194,0.4627371273712737,0.3871310521330482,-0.049010765094473996
cremad,50,1,5,0.1,0.4404,0,0,5.6175,35.6964,0.48721340388007056,0.48848238482384826,0.3079552229417062,-0.050121884256975946
cremad,50,1,5,0.2,0.4404,0,0,5.6175,35.6964,0.5130070546737213,0.5142276422764228,0.23412529759364675,-0.051425084100580776
cremad,50,1,5,0.3,0.4404,0,0,5.6175,35.6964,0.5416666666666666,0.5420054200542005,0.16851428671509527,-0.05249569745185578
cremad,50,1,5,0.4404,0.4404,1,0,5.6175,35.6964,0.5731922398589065,0.573170731707317,0.09281162505668306,-0.054083990826479855
cremad,50,1,5,0.5,0.4404,0,0,5.6175,35.6964,0.5900573192239859,0.5894308943089431,0.06615445063667558,-0.05468391004811668
cremad,50,1,5,0.7,0.4404,0,0,5.6175,35.6964,0.611441798941799,0.6104336043360433,-0.00035852681006609544,-0.05805032741616678
