dataset,seed,fold,k,lam,lam_star,is_lam_star,centered,tau2,within,test_uar,test_acc,leak_bits,control_bits
cremad,47,4,1,0.1289,0.1289,1,1,2.9617,20.0071,0.6083232770179673,0.6047865459249676,0.24851186431549843,-0.05445684870246126
cremad,47,4,1,0.0,0.1289,0,1,2.9617,20.0071,0.5919035487619558,0.5886157826649417,0.33112679244171783,-0.0520636927351914
cremad,47,4,2,0.2284,0.2284,1,1,2.9617,20.0071,0.60685393760615,0.6028460543337646,0.19268217508835672,-0.05164640877563098
cremad,47,4,2,0.0,0.2284,0,1,2.9617,20.0071,0.5919035487619558,0.5886157826649417,0.33112679244171783,-0.0520636927351914
cremad,47,4,5,0.4253,0.4253,1,1,2.9617,20.0071,0.6135804952176633,0.610608020698577,0.10554900955602875,-0.053253489827604916
cremad,47,4,5,0.0,0.4253,0,1,2.9617,20.0071,0.5919035487619558,0.5886157826649417,0.33112679244171783,-0.0520636927351914
cremad,47,4,10,0.5968,0.5968,1,1,2.9617,20.0071,0.6273744077947617,0.6235446313065977,0.03573799978019032,-0.051658550234376044
cremad,47,4,10,0.0,0.5968,0,1,2.9617,20.0071,0.5919035487619558,0.5886157826649417,0.33112679244171783,-0.0520636927351914
cremad,47,4,20,0.7475,0.7475,1,1,2.9617,20.0071,0.6221116027531958,0.6183699870633894,-0.0010150124988310694,-0.049159973934330914
cremad,47,4,20,0.0,0.7475,0,1,2.9617,20.0071,0.5919035487619558,0.5886157826649417,0.33112679244171783,-0.0520636927351914
