pos,seed,fold,tau2,within,protocol,draw,k,lam,lam_star,is_lam_star,test_uar,test_acc,n_rows,leak_bits,control_bits,leak_mlp_bits,control_mlp_bits,dataset
0,51,2,,,fixed,0,1,1.0,,0,0.3676117376775272,0.36,150,0.3485626001151576,-0.1344219823846795,,,ravdess
0,51,2,,,fixed,0,2,1.0,,0,0.4511617585630744,0.4266666666666667,150,0.32102853769241513,-0.14800760674845392,,,ravdess
0,51,2,,,fixed,0,5,1.0,,0,0.4286053675856307,0.42,150,0.27612043121190366,-0.1562896779921732,,,ravdess
0,51,2,,,fixed,0,10,1.0,,0,0.46714181286549705,0.44666666666666666,150,0.20417153545449374,-0.13763013313581762,,,ravdess
0,51,2,,,fixed,0,-1,1.0,,0,0.46580252715121134,0.4533333333333333,150,0.20905389914198658,-0.14880959241810743,0.17665622629158673,-0.04873240529334888,ravdess
0,51,2,,,resampled,0,1,1.0,,0,0.35752140768588136,0.3466666666666667,150,0.11685399164018673,-0.14396495809170817,,,ravdess
0,51,2,,,resampled,0,2,1.0,,0,0.4151681286549707,0.4,150,0.2311745275755288,-0.1396474959769769,,,ravdess
0,51,2,,,resampled,0,5,1.0,,0,0.4780049081035923,0.46,150,0.16047361512762404,-0.13164344805500416,,,ravdess
0,51,2,,,resampled,0,10,1.0,,0,0.4133824143692565,0.4,150,0.18322025270229725,-0.15541902504354077,,,ravdess
0,51,2,,,fixed,1,1,1.0,,0,0.36293831533963117,0.32666666666666666,150,0.7248031228091298,-0.12617333907387218,,,ravdess
0,51,2,,,fixed,1,2,1.0,,0,0.5101176619433199,0.44666666666666666,150,0.28656974091691856,-0.18892550006510245,,,ravdess
0,51,2,,,fixed,1,5,1.0,,0,0.4883716301972881,0.4666666666666667,150,0.3006804857241905,-0.17745284090602587,,,ravdess
0,51,2,,,fixed,1,10,1.0,,0,0.4586809973652079,0.44,150,0.27147764778987593,-0.15617184255463323,,,ravdess
0,51,2,,,fixed,1,-1,1.0,,0,0.44863635450806505,0.4266666666666667,150,0.29225523403515696,-0.17101466206292626,0.07370005497951437,-0.05700242265152777,ravdess
0,51,2,,,resampled,1,1,1.0,,0,0.417198123513913,0.38666666666666666,150,0.1611973856813913,-0.19061270198206737,,,ravdess
0,51,2,,,resampled,1,2,1.0,,0,0.3941170434098066,0.38666666666666666,150,0.21479165220528795,-0.20286971635738738,,,ravdess
0,51,2,,,resampled,1,5,1.0,,0,0.4394863962791594,0.4066666666666667,150,0.21452801774768693,-0.14838131480967887,,,ravdess
0,51,2,,,resampled,1,10,1.0,,0,0.4595028436475805,0.43333333333333335,150,0.28084467006796787,-0.17231758033163302,,,ravdess
0,51,2,,,pseudo_split,0,0,1.0,,0,0.45312499999999994,0.43333333333333335,300,-0.06589362074029381,-0.04417249004820034,-0.026063932103745024,-0.04250653180798514,ravdess
