dataset,mode,no_style,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,delta_linear_mi_lb_bits,delta_linear_control_bits,delta_linear_entropy_bits,delta_mlp_mi_lb_bits,delta_mlp_control_bits,delta_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
iemocap,operator,False,42,1,0.0,4,206.3,0.5909823834308396,0.5627428958267282,0.5530035335689046,-0.0037026433101998713,0.0008348969648787063,0.9836697149306288,0.005102036770415208,-0.0001744577363449462,0.9836697149306288,0.22507587154213704,-0.13554450216530944,0.9836697149306288,0.6534433480078039,-0.13140446555306728,0.9836697149306288,0.8921256802681071,-1.446728579036244,0.9836697149306288,0.8555897435227978,-0.21768412640691448,0.9836697149306288
iemocap,operator,False,42,3,0.0,12,314.8,0.5509150948569415,0.5188396638485404,0.5107913669064749,0.030434770266939526,-0.0066189801578608876,0.9973008701007469,0.023461678484236304,-0.018457364444359747,0.9973008701007469,0.2751106170012323,-0.07517655616779151,0.9973008701007469,0.5532892581302269,-0.17893370836548428,0.9973008701007469,0.48646019285332465,-1.4558254990713702,0.9973008701007469,0.4914130972529772,-0.24636653743114612,0.9973008701007469
iemocap,operator,False,42,5,0.0,12,312.1,0.6288691244609456,0.6139934314686131,0.6093457943925233,0.1753479109455932,0.00106273648594446,0.9998765061155545,0.35386841598507157,0.0003996247173811973,0.9998765061155545,0.23118086026045936,-0.1291221188800874,0.9998765061155545,0.7838183805256693,-0.03764776728666719,0.9998765061155545,0.8224999706832621,-1.9372438778312429,0.9998765061155545,0.7962349624811003,-0.24217895310990467,0.9998765061155545
iemocap,operator,False,43,1,0.0,10,307.8,0.6026745025714493,0.5698570753818052,0.5644876325088339,0.04008842883781505,-0.003975325845726241,0.9836697149306288,0.12460570182047337,-0.005412253071060635,0.9836697149306288,0.3515273160034179,-0.09220491758752125,0.9836697149306288,0.5780744542440704,-0.12991102413783095,0.9836697149306288,0.786570417207509,-1.4066666554392024,0.9836697149306288,0.8128155050191224,-0.23518277415531652,0.9836697149306288
iemocap,operator,False,43,3,0.0,6,256.4,0.6251790248208167,0.6027748905705087,0.6016187050359713,0.03796302404520202,-0.003098083961593723,0.9973008701007469,0.0464012763039493,-0.0038112025113996584,0.9973008701007469,0.2966378913608724,-0.09762252790344639,0.9973008701007469,0.48416625163493643,-0.05406164003326075,0.9973008701007469,0.44515306984214553,-1.7030288507337075,0.9973008701007469,0.5184151913628332,-0.32750434254702876,0.9973008701007469
iemocap,operator,False,43,5,0.0,11,318.1,0.6529593052741017,0.6364356235732065,0.6317757009345795,0.12071868538449282,-0.005330272315619999,0.9998765061155545,0.12264772296034299,-0.0071179971115672425,0.9998765061155545,0.10554784505245562,-0.07542903820782987,0.9998765061155545,0.7327702269397888,-0.03264844970927372,0.9998765061155545,0.8357328912976896,-1.724036069104828,0.9998765061155545,0.7977584458626308,-0.15167141397927242,0.9998765061155545
iemocap,operator,False,44,1,0.0,10,309.5,0.6407846726820012,0.6163581694351882,0.6086572438162544,0.01824667966955662,-0.0038434031154146453,0.9836697149306288,0.09852600054260863,-0.0032002367421996025,0.9836697149306288,0.20895059879120048,-0.12419101006334055,0.9836697149306288,0.7525975613395514,-0.08318266641795269,0.9836697149306288,0.8862175414614141,-1.4618737849830796,0.9836697149306288,0.8441638453097258,-0.24662924581560808,0.9836697149306288
iemocap,operator,False,44,3,0.0,9,308.3,0.6275234980845964,0.595248986776518,0.5935251798561151,0.023787299589902222,-0.004239534050698879,0.9973008701007469,0.08065579898177255,-0.005980824276301533,0.9973008701007469,0.12359113176736602,-0.07277765607048892,0.9973008701007469,0.6298939763974041,-0.15110785392298975,0.9973008701007469,0.3731609400538751,-1.423344211422682,0.9973008701007469,0.5110864277191869,-0.21806608876152733,0.9973008701007469
iemocap,operator,False,44,5,0.0,11,270.9,0.6593871981623691,0.6363595369277187,0.6308411214953271,0.144478767164672,-0.0030901747160870796,0.9998765061155545,0.17094983684920384,-0.004964137742424879,0.9998765061155545,0.3208537009954947,-0.19932905584603178,0.9998765061155545,0.6652259972342094,-0.056727367552625085,0.9998765061155545,0.8193867067107886,-1.7977565584576607,0.9998765061155545,0.7897724753375577,-0.28555489075245444,0.9998765061155545
