dataset,mode,no_style,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_linear_mi_lb_bits,c_aff_linear_control_bits,c_aff_linear_entropy_bits,c_aff_mlp_mi_lb_bits,c_aff_mlp_control_bits,c_aff_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
iemocap,cmn,True,42,1,0.0,9,258.5,0.5947436212705828,0.5827063586599551,0.5768551236749117,0.03246201688794326,-0.003435903411831198,0.9836697149306288,0.020341463861210496,-0.004567144189722483,0.9836697149306288,0.9353678442067398,-1.5793126824422865,0.9836697149306288,0.9133166381388252,-0.22039436108289068,0.9836697149306288
iemocap,cmn,True,42,3,0.0,8,263.8,0.5688167028658232,0.5736026758629499,0.5800359712230215,0.05679267119249187,-0.0060990781418410744,0.9973008701007469,0.04544419205244943,-0.010345119616112175,0.9973008701007469,0.6593471034460174,-1.4000278401745911,0.9973008701007469,0.5420626801569095,-0.3045204593724333,0.9973008701007469
iemocap,cmn,True,42,5,0.0,12,259.6,0.6324234508334831,0.6181650017425735,0.6196261682242991,0.1513977931242917,-0.005160184214869301,0.9998765061155545,0.133408926392235,-0.009333892666690935,0.9998765061155545,0.759645379818835,-1.1758340717285525,0.9998765061155545,0.7290847845675554,-0.31785603490671643,0.9998765061155545
iemocap,cmn,True,43,1,0.0,7,236.7,0.6024317574527007,0.5862905792751297,0.5803886925795053,0.06743467148081372,-0.0034614858806627513,0.9836697149306288,0.04275048093123224,-0.0014012975241253223,0.9836697149306288,0.9061510419623408,-1.2520160678694685,0.9836697149306288,0.8454574767483759,-0.2774992469074,0.9836697149306288
iemocap,cmn,True,43,3,0.0,6,212.5,0.5962577549781638,0.5921385431531909,0.5809352517985612,0.048582439038583725,-0.010170096702960763,0.9973008701007469,0.022592859042363633,-0.01216794581296754,0.9973008701007469,0.6906094869164634,-1.6191453380663028,0.9973008701007469,0.6020459537472178,-0.3326083427163218,0.9973008701007469
iemocap,cmn,True,43,5,0.0,10,263.7,0.6223844654637289,0.620269202031028,0.6242990654205608,0.14447974369296512,0.0034624955180495576,0.9998765061155545,0.1171287810005438,-0.002842047503790357,0.9998765061155545,0.8756135201509019,-1.8091431178404052,0.9998765061155545,0.8319698151593569,-0.1676656151949215,0.9998765061155545
iemocap,cmn,True,44,1,0.0,12,256.5,0.6012752641072076,0.587636346537752,0.5812720848056537,0.03989396933501266,-0.008271017559317029,0.9836697149306288,0.03066421028830435,-0.00880197055202292,0.9836697149306288,0.9220243089696278,-1.5409051619145506,0.9836697149306288,0.8686107991611509,-0.23711863140947376,0.9836697149306288
iemocap,cmn,True,44,3,0.0,6,216.7,0.5644431479431574,0.5594245558461941,0.5413669064748201,0.045536587068186085,-0.005792740691522136,0.9973008701007469,0.02885113009789486,-0.008531806145235521,0.9973008701007469,0.6972481351816402,-1.794798762791902,0.9973008701007469,0.5949918175100344,-0.3014352912166258,0.9973008701007469
iemocap,cmn,True,44,5,0.0,8,178.3,0.6512495850503571,0.63400888452573,0.6308411214953271,0.1533675705709503,-0.0025967318924137173,0.9998765061155545,0.11383381227509692,-0.0021677840957524674,0.9998765061155545,0.8575159591612758,-1.5731726880589227,0.9998765061155545,0.8112064354656195,-0.16747127253185023,0.9998765061155545
