dataset,mode,no_style,encoder_lr,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,delta_linear_mi_lb_bits,delta_linear_control_bits,delta_linear_entropy_bits,delta_mlp_mi_lb_bits,delta_mlp_control_bits,delta_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
ravdess,operator,False,1e-05,42,1,0.0,9,585.4,0.5875,0.54795800911944,0.6266666666666667,0.0003558469794988639,-0.04550058164817994,2.3219280948873626,-0.031649914200374774,-0.022447565009315884,2.3219280948873626,-1.1112340157056253,-0.5640736856304165,2.3219280948873626,0.4698406096730383,-0.2687710909405081,2.3219280948873626,2.2092255246483203,-3.014005894546817,2.3219280948873626,1.9452140238423656,-0.6890246572613541,2.3219280948873626
ravdess,operator,False,1e-05,42,3,0.0,11,579.1,0.5093749999999999,0.4657236191783284,0.4766666666666667,-0.023547480956402023,-0.05331630417999156,2.3219280948873626,-0.06897535124285525,-0.047158571108958824,2.3219280948873626,-1.7788246366857603,-1.0563989562326084,2.3219280948873626,0.10971450196714239,-0.4894635203537252,2.3219280948873626,2.2397903723833643,-3.648021406946694,2.3219280948873626,1.9391724416949088,-0.6614743120553053,2.3219280948873626
ravdess,operator,False,1e-05,42,5,0.0,9,626.8,0.57421875,0.5521562599020382,0.6125,-0.028892807849370872,-0.08871251275774172,2.0,-0.023195050181004984,-0.0741820681495371,2.0,-1.2919541426388577,-1.0728307716494387,2.0,0.39660393391955506,-0.3447321765909961,2.0,1.923983479993721,-3.1853720770288874,2.0,1.5690047673519523,-0.4416563736608321,2.0
ravdess,operator,False,1e-05,43,1,0.0,10,592.9,0.596875,0.5665178753136432,0.5933333333333334,-0.019459501568837467,-0.07546126040354517,2.3219280948873626,-0.032637171380609065,-0.06916892302433553,2.3219280948873626,-1.3750814332362293,-0.6628877379406801,2.3219280948873626,0.6773116922676656,-0.33756944011001666,2.3219280948873626,2.1408694029237534,-3.028026164739315,2.3219280948873626,1.7729615882236347,-0.8545533875439815,2.3219280948873626
ravdess,operator,False,1e-05,43,3,0.0,10,473.8,0.5843750000000001,0.540119473220161,0.5866666666666667,-0.00025620800342363026,-0.04458682492797905,2.3219280948873626,-0.007963749260628816,-0.04627301686767771,2.3219280948873626,-1.020214497084408,-0.528690373651989,2.3219280948873626,0.7374071355342657,-0.1658680135256101,2.3219280948873626,2.281141345770905,-2.9192701435678012,2.3219280948873626,1.9648462060137646,-0.5969848787275733,2.3219280948873626
ravdess,operator,False,1e-05,43,5,0.0,12,502.9,0.62109375,0.6108908771408772,0.6166666666666667,-0.07699792182986354,-0.024884801031997306,2.0,-0.045124077958920594,-0.002849841544472209,2.0,-1.4568117379397072,-0.766063403090798,2.0,0.45569326921377407,-0.21225855274410854,2.0,1.9277418583157415,-3.214280992696753,2.0,1.627577438728061,-0.6549146589747563,2.0
ravdess,operator,False,1e-05,44,1,0.0,11,466.9,0.46875,0.4081259195440643,0.5,-0.03650985590532008,-0.04103528407545998,2.3219280948873626,-0.04052124974728244,-0.03394370324025742,2.3219280948873626,-1.4363129458849033,-0.6687923955828889,2.3219280948873626,0.780790596493377,-0.16681139793004363,2.3219280948873626,2.105384761701097,-3.02806081026515,2.3219280948873626,1.80831179900148,-0.7221454630521058,2.3219280948873626
ravdess,operator,False,1e-05,44,3,0.0,10,465.6,0.54375,0.4661888166517754,0.5433333333333333,-0.06110616352218612,-0.046309194499556394,2.3219280948873626,-0.055567004756099436,-0.051322724791927676,2.3219280948873626,-1.0070949711487898,-0.6209653715029555,2.3219280948873626,0.45286315922170317,-0.21355425290422936,2.3219280948873626,2.2066312255514045,-3.432682564305644,2.3219280948873626,1.9460024141588914,-0.6686764219405843,2.3219280948873626
ravdess,operator,False,1e-05,44,5,0.0,8,463.9,0.4375,0.375635727723654,0.4666666666666667,0.06428855379504483,-0.06881522107970683,2.0,-0.014913399767957358,-0.053044359478811476,2.0,-1.570230696305118,-0.631183167137225,2.0,0.5430811695897926,-0.13847123660552318,2.0,1.8950058054530665,-2.527962829074532,2.0,1.7479804135817145,-0.6145568422172771,2.0
