pos,seed,fold,tau2,within,protocol,draw,k,lam,lam_star,is_lam_star,test_uar,test_acc,n_rows,leak_bits,control_bits,leak_mlp_bits,control_mlp_bits,dataset
0,53,3,,,fixed,0,1,1.0,,0,0.5211229962709265,0.5176151761517616,738,0.328168371887795,-0.05116537048781744,,,cremad
0,53,3,,,fixed,0,2,1.0,,0,0.5758891984139659,0.5704607046070461,738,0.19704130248154783,-0.07290752340038242,,,cremad
0,53,3,,,fixed,0,5,1.0,,0,0.5674898997885247,0.5609756097560976,738,0.16440992714391367,-0.07156197675811615,,,cremad
0,53,3,,,fixed,0,10,1.0,,0,0.5745339597785231,0.5677506775067751,738,0.1335037774728418,-0.06451091174632406,,,cremad
0,53,3,,,fixed,0,-1,1.0,,0,0.5901826475486637,0.5840108401084011,738,0.09226680335307158,-0.0623398351840585,0.03145123193181476,-0.03561997719939303,cremad
0,53,3,,,resampled,0,1,1.0,,0,0.5140693646921309,0.5121951219512195,738,0.0863037167051317,-0.0776410810058783,,,cremad
0,53,3,,,resampled,0,2,1.0,,0,0.5458316998258845,0.5433604336043361,738,0.09734909635064248,-0.07060201894119089,,,cremad
0,53,3,,,resampled,0,5,1.0,,0,0.5748663135318578,0.5691056910569106,738,0.07116566725048834,-0.05642408866667559,,,cremad
0,53,3,,,resampled,0,10,1.0,,0,0.587135877531565,0.5813008130081301,738,0.09085394041375494,-0.06344594381087809,,,cremad
0,53,3,,,fixed,1,1,1.0,,0,0.5402332301287937,0.537940379403794,738,0.27119910397614033,-0.1282948203492973,,,cremad
0,53,3,,,fixed,1,2,1.0,,0,0.5459044645193728,0.540650406504065,738,0.19952012898288585,-0.1163960379849982,,,cremad
0,53,3,,,fixed,1,5,1.0,,0,0.5908548886686077,0.5826558265582655,738,0.10892395112368991,-0.11145190620436729,,,cremad
0,53,3,,,fixed,1,10,1.0,,0,0.5833293649869769,0.575880758807588,738,0.108003690337239,-0.1150616323647462,,,cremad
0,53,3,,,fixed,1,-1,1.0,,0,0.5921083937227348,0.5826558265582655,738,0.0974603589409675,-0.11482743645753679,0.004300529801471775,-0.03419977036652355,cremad
0,53,3,,,resampled,1,1,1.0,,0,0.5272293683495364,0.5230352303523035,738,0.06738237825061066,-0.09811072138260357,,,cremad
0,53,3,,,resampled,1,2,1.0,,0,0.5359817748229866,0.5298102981029811,738,0.07700056547976608,-0.11103951211967011,,,cremad
0,53,3,,,resampled,1,5,1.0,,0,0.5829842319715272,0.5745257452574526,738,0.08874494270927524,-0.12101382920708037,,,cremad
0,53,3,,,resampled,1,10,1.0,,0,0.5911690563946567,0.5840108401084011,738,0.10378878039111683,-0.10959816870887362,,,cremad
0,53,3,,,pseudo_split,0,0,1.0,,0,0.5720745662606127,0.5654237288135593,1475,-0.0461044688373935,-0.0631204451606644,-0.028418639456835315,-0.046020403085289985,cremad
