dataset,variant,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits
cremad,inlp_trans,42,1,31,84.7,0.16666666666666666,0.04861111111111111,0.004800554650387312,-0.02186733803579788,4.169925001442313
cremad,inlp_trans,42,2,40,97.1,0.3148148148148148,0.20247784419709755,0.04432674925825797,-0.037500452378131044,4.1699193444441836
cremad,inlp_trans,42,3,33,95.1,0.16666666666666666,0.048639258830341627,0.09519856725603582,-0.03577539746681868,4.1699193444441836
cremad,inlp_trans,42,4,31,94.2,0.16666666666666666,0.04861878453038674,0.02993102917211221,-0.04771145951579925,4.247550686408009
cremad,inlp_trans,42,5,37,76.9,0.16666666666666666,0.04861514623281038,0.037509384058738604,-0.06289685584537885,4.169716095873848
cremad,inlp_trans,43,1,32,96.0,0.16666666666666666,0.04861111111111111,0.04216098956806835,-0.008540963577278404,4.169925001442313
cremad,inlp_trans,43,2,39,86.8,0.16666666666666666,0.048639258830341627,0.04295005237410798,-0.012904141014916881,4.1699193444441836
cremad,inlp_trans,43,3,38,91.4,0.3062169312169312,0.21545398140610597,0.03588829680333916,-0.029286231030669185,4.1699193444441836
cremad,inlp_trans,43,4,28,68.6,0.5976747564136945,0.5933742596759831,-0.7067729588576945,-0.598811936107734,4.247550686408009
cremad,inlp_trans,43,5,38,90.2,0.16666666666666666,0.04861514623281038,0.021401147093523143,-0.01959052787285831,4.169716095873848
cremad,inlp_trans,44,1,27,88.2,0.16666666666666666,0.04861111111111111,-0.0003594441629237721,-0.0003594441629237721,4.169925001442313
cremad,inlp_trans,44,2,31,84.6,0.16666666666666666,0.048639258830341627,0.004420822002685121,-0.01045635077646434,4.1699193444441836
cremad,inlp_trans,44,3,24,83.2,0.16666666666666666,0.048639258830341627,-0.019581802893744005,-0.21856496636973954,4.1699193444441836
cremad,inlp_trans,44,4,22,68.1,0.16666666666666666,0.04861878453038674,0.09699958329021374,-0.029314213540620138,4.247550686408009
cremad,inlp_trans,44,5,29,83.2,0.16666666666666666,0.04861514623281038,-0.0003742060952980353,-0.0003742060952980353,4.169716095873848
cremad,leace_trainfit,42,1,31,84.1,0.45260141093474426,0.4450218883307153,-0.18835334889703237,-1.6263531963454847,4.169925001442313
