dataset,model,fixed_position,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,gate0,gate1,gate2,gate3,gate4,gate_argmax,gate_entropy_bits,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,h_raw_linear_mi_lb_bits,h_raw_linear_control_bits,h_raw_linear_entropy_bits,h_raw_mlp_mi_lb_bits,h_raw_mlp_control_bits,h_raw_mlp_entropy_bits
ravdess,fixed_position_0,0,42,1,33,59.9,0.4375,0.38718173627493246,0.42333333333333334,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.20930811246215208,-0.03692950693162622,2.3219280948873626,0.1155445938256987,-0.03420654378311694,2.3219280948873626,1.6228431906793894,-0.7009803979335039,2.3219280948873626,1.033260528248759,-0.2862984678146896,2.3219280948873626,1.6228431906793894,-0.7009803979335039,2.3219280948873626,1.033260528248759,-0.2862984678146896,2.3219280948873626
ravdess,fixed_position_0,0,42,2,24,55.8,0.365625,0.2981574675324675,0.3466666666666667,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.2662454680042283,-0.04826919694239784,2.3219280948873626,0.09847103607352548,-0.04466614885180986,2.3219280948873626,1.867783024332339,-0.5286762615694469,2.3219280948873626,1.3577518821885635,-0.18447299239526727,2.3219280948873626,1.867783024332339,-0.5286762615694469,2.3219280948873626,1.3577518821885635,-0.18447299239526727,2.3219280948873626
ravdess,fixed_position_0,0,42,3,19,50.9,0.37187499999999996,0.3179568000809522,0.35333333333333333,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.1894173600546698,-0.06908551554308318,2.3219280948873626,0.05756492411405523,-0.04148809566621381,2.3219280948873626,1.769928954892892,-0.5116210629452587,2.3219280948873626,1.030444305688152,-0.25358668311875077,2.3219280948873626,1.769928954892892,-0.5116210629452587,2.3219280948873626,1.030444305688152,-0.25358668311875077,2.3219280948873626
ravdess,fixed_position_0,0,42,4,25,55.8,0.44999999999999996,0.39248469750588394,0.43666666666666665,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.29130367675174496,-0.049501037412101656,2.3219280948873626,0.04774878781022007,-0.03930682483580927,2.3219280948873626,1.923286490313125,-0.46987332052453956,2.3219280948873626,1.2933857011238274,-0.22552134115223454,2.3219280948873626,1.923286490313125,-0.46987332052453956,2.3219280948873626,1.2933857011238274,-0.22552134115223454,2.3219280948873626
ravdess,fixed_position_0,0,42,5,21,54.0,0.40625,0.35389001052876257,0.3875,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.04447733910466356,-0.03927353574785242,2.0,0.0015431050625702714,-0.054891410321698864,2.0,1.6467354476890559,-0.5232419671851334,2.0,1.0868820669550243,-0.25486046986178446,2.0,1.6467354476890559,-0.5232419671851334,2.0,1.0868820669550243,-0.25486046986178446,2.0
ravdess,fixed_position_0,0,43,1,27,58.8,0.43437499999999996,0.39788792663572814,0.43333333333333335,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.2317648044400844,-0.056061609307752835,2.3219280948873626,0.03537945626458594,-0.05582183610616953,2.3219280948873626,1.6939557011240307,-0.7005979784148937,2.3219280948873626,0.7400453211858085,-0.2744587737927544,2.3219280948873626,1.6939557011240307,-0.7005979784148937,2.3219280948873626,0.7400453211858085,-0.2744587737927544,2.3219280948873626
ravdess,fixed_position_0,0,43,2,35,58.5,0.39375,0.35283493028376306,0.41,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.3268482116005471,-0.03853798370436934,2.3219280948873626,0.19832616671479952,-0.034569014025885636,2.3219280948873626,1.8840496555336468,-0.7044138707587466,2.3219280948873626,1.2466886368158145,-0.2347733576472013,2.3219280948873626,1.8840496555336468,-0.7044138707587466,2.3219280948873626,1.2466886368158145,-0.2347733576472013,2.3219280948873626
ravdess,fixed_position_0,0,43,3,30,59.7,0.5187499999999999,0.4762879481793844,0.51,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.18877980961807594,-0.06371378445900833,2.3219280948873626,0.038823633007267766,-0.04668550290496798,2.3219280948873626,1.8778313525840493,-0.9114197212072819,2.3219280948873626,1.4333802318443012,-0.2742928676461691,2.3219280948873626,1.8778313525840493,-0.9114197212072819,2.3219280948873626,1.4333802318443012,-0.2742928676461691,2.3219280948873626
ravdess,fixed_position_0,0,43,4,37,58.9,0.55625,0.5105482263922102,0.5466666666666666,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.2636173332594036,-0.0904430498426505,2.3219280948873626,0.11720530759395853,-0.06028668338620147,2.3219280948873626,1.9717879575796973,-0.9291279897232343,2.3219280948873626,1.655817295932924,-0.3283241305707554,2.3219280948873626,1.9717879575796973,-0.9291279897232343,2.3219280948873626,1.655817295932924,-0.3283241305707554,2.3219280948873626
ravdess,fixed_position_0,0,43,5,39,60.6,0.4140625,0.38293242866437405,0.4083333333333333,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.2751660531257618,-0.041843137778358575,2.0,0.035340853755968515,-0.02031667342258192,2.0,1.753691278968721,-0.9527866588986655,2.0,1.1326647912151702,-0.3134481826765345,2.0,1.753691278968721,-0.9527866588986655,2.0,1.1326647912151702,-0.3134481826765345,2.0
