dataset,mode,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_linear_mi_lb_bits,c_aff_linear_control_bits,c_aff_linear_entropy_bits,c_aff_mlp_mi_lb_bits,c_aff_mlp_control_bits,c_aff_mlp_entropy_bits,c_style_linear_mi_lb_bits,c_style_linear_control_bits,c_style_linear_entropy_bits,c_style_mlp_mi_lb_bits,c_style_mlp_control_bits,c_style_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
iemocap,floor,42,1,0.0,20,26.4,0.5266739533182373,0.5264019076174467,0.5282685512367491,0.2269540830821597,-9.182195947066152e-05,0.9836697149306288,0.18027679125592544,-0.00656342224646822,0.9836697149306288,0.6196937974541182,-0.0033666737235372723,0.9836697149306288,0.3816343195923594,-0.005697121481225809,0.9836697149306288,0.661678293209167,-0.19546267423852615,0.9836697149306288,0.6838773662560442,-0.0765088416929014,0.9836697149306288
iemocap,floor,42,1,0.5,30,48.3,0.5313066036398506,0.5138472967747133,0.5132508833922261,0.1126805642694475,-0.0036015891648119025,0.9836697149306288,0.1601094664691073,-0.007603614523737923,0.9836697149306288,0.6460162417728341,-0.0004926078055058625,0.9836697149306288,0.3635870371978781,-0.001662130278568763,0.9836697149306288,0.673457810778795,-0.21534891107111398,0.9836697149306288,0.6629206665438918,-0.10865641576110341,0.9836697149306288
iemocap,floor,42,1,1.0,33,43.9,0.5022256447789559,0.49109656489106945,0.495583038869258,0.09487158773091031,-0.0026692701609615233,0.9836697149306288,0.1789001313023515,-0.004986667307376513,0.9836697149306288,0.6341054678671988,0.0014428910419302943,0.9836697149306288,0.43465640622375856,-0.0029370727345814363,0.9836697149306288,0.7110635268924961,-0.19927915426354947,0.9836697149306288,0.6245074929362335,-0.061312855179278536,0.9836697149306288
iemocap,floor,42,1,2.0,23,39.8,0.5170492749210436,0.4876264589764353,0.4840989399293286,0.09538552398672462,-0.004424538744166817,0.9836697149306288,0.13465914461091655,-0.0023668211905736314,0.9836697149306288,0.6410002342692532,0.0003905473741903087,0.9836697149306288,0.32948640836257126,-0.0056661807886810855,0.9836697149306288,0.6917013311740211,-0.14116259035198175,0.9836697149306288,0.6772896127913002,-0.05211325409139311,0.9836697149306288
iemocap,floor,42,1,4.0,12,26.7,0.4881378482019239,0.47556966510102117,0.4734982332155477,0.10021023257388328,-0.0005900490170832606,0.9836697149306288,0.1239175020407457,-0.002829284380206576,0.9836697149306288,0.2861684144785369,-0.00015232088868388782,0.9836697149306288,0.27052343571437265,-0.0014920067293986428,0.9836697149306288,0.38648064234215973,-0.2389345281489328,0.9836697149306288,0.2655923756102203,-0.09763455203406513,0.9836697149306288
iemocap,floor,42,1,8.0,4,17.0,0.49617588863323747,0.37464490267917766,0.3931095406360424,0.0036431953930723404,0.0015765022259255357,0.9836697149306288,0.0002740510848147082,-0.0031293947622492713,0.9836697149306288,0.029563546427855525,0.000117096114448767,0.9836697149306288,0.14599925794794455,-0.004907562968728518,0.9836697149306288,0.44821523292168597,-0.09281357788214839,0.9836697149306288,0.38631630623237145,-0.03985836188357328,0.9836697149306288
iemocap,floor,42,1,16.0,4,17.3,0.4512414258355083,0.31382904675958956,0.3330388692579505,0.027952011855952197,-0.0010475390418630548,0.9836697149306288,-0.005732447060377455,-0.005797824978080346,0.9836697149306288,0.07980445830505523,-0.0005309402135597052,0.9836697149306288,0.09978688875932673,-0.004964917056269669,0.9836697149306288,0.4678528976476942,-0.06970708592647523,0.9836697149306288,0.3045888623837538,-0.03102890848899187,0.9836697149306288
iemocap,floor,42,2,0.0,29,34.1,0.5560983177472999,0.5308607303192301,0.5273851590106007,0.03541053140734973,-0.003735153372372735,0.9910444329385492,0.023318718706674124,-0.009534930752362558,0.9910444329385492,0.08661186819288924,-0.002722591600937352,0.9910444329385492,0.07251368401554537,-0.0037522853318030513,0.9910444329385492,0.14963954731926177,-0.23052537641815085,0.9910444329385492,0.16942885825151388,-0.06824645016841224,0.9910444329385492
iemocap,floor,42,2,0.5,18,34.2,0.5414942335802923,0.502403963619834,0.5044169611307421,0.043824283809238196,-0.0022175540315403364,0.9910444329385492,0.01925348665419413,-0.008004387386263523,0.9910444329385492,0.13799763715224045,-0.0022626169979319544,0.9910444329385492,0.10417820618548046,-0.001025685973620516,0.9910444329385492,0.19588374760075877,-0.15169986410624048,0.9910444329385492,0.15603654771441222,-0.06148673117324421,0.9910444329385492
iemocap,floor,42,2,1.0,18,33.8,0.5579541807999293,0.5085376834142232,0.5159010600706714,0.03356172642365274,-0.0042842090904046115,0.9910444329385492,0.028618776039593175,-0.009710428991595133,0.9910444329385492,0.09778143105634407,-0.0012790409130918334,0.9910444329385492,0.074509743062944,-0.004198187243610096,0.9910444329385492,0.17699601421473288,-0.21996588321720545,0.9910444329385492,0.1497131942072295,-0.06838166990960348,0.9910444329385492
