dataset,seed,fold,k,lam,lam_star,is_lam_star,is_matrix,tau2,within,test_uar,test_acc,leak_bits,control_bits
iemocap,48,3,1,0.0,0.1759,0,0,24.2393,113.5991,0.3513287277870454,0.3965827338129496,0.1450262987061045,-0.004528221298730761
iemocap,48,3,1,0.1,0.1759,0,0,24.2393,113.5991,0.3592270076924705,0.39928057553956836,0.12124172913374365,-0.005025396530905724
iemocap,48,3,1,0.1759,0.1759,1,0,24.2393,113.5991,0.3679348324750613,0.4064748201438849,0.10420290540841548,-0.005088187085203533
iemocap,48,3,1,0.2,0.1759,0,0,24.2393,113.5991,0.3739399973972012,0.41007194244604317,0.09900106552569898,-0.005168588038653832
iemocap,48,3,1,0.3,0.1759,0,0,24.2393,113.5991,0.399444162025101,0.42985611510791366,0.07773194195775535,-0.005180680188740849
iemocap,48,3,1,0.5,0.1759,0,0,24.2393,113.5991,0.4570393494834709,0.4676258992805755,0.04122772867176827,-0.0048293899556859365
iemocap,48,3,1,0.7,0.1759,0,0,24.2393,113.5991,0.48762058218775917,0.4829136690647482,0.01463510752621311,-0.004642674121937196
iemocap,48,3,1,1.0,0.1759,0,0,24.2393,113.5991,0.4608842599776489,0.4379496402877698,-0.00179401151972447,-0.003998875599119378
iemocap,48,3,1,0.0031825243490405945,0.1759,0,1,24.2393,113.5991,0.3522099280009119,0.3893884892086331,0.1083839855554356,-0.004712599593041267
iemocap,48,3,2,0.0,0.2991,0,0,24.2393,113.5991,0.3513287277870454,0.3965827338129496,0.1450262987061045,-0.004528221298730761
iemocap,48,3,2,0.1,0.2991,0,0,24.2393,113.5991,0.3578357695348747,0.4001798561151079,0.12566867378232527,-0.005060043806583092
iemocap,48,3,2,0.2,0.2991,0,0,24.2393,113.5991,0.37414478436339044,0.41276978417266186,0.10674392071613314,-0.005403963503446629
iemocap,48,3,2,0.2991,0.2991,1,0,24.2393,113.5991,0.40055561631134573,0.4289568345323741,0.0879452047575634,-0.005367995824540062
iemocap,48,3,2,0.3,0.2991,0,0,24.2393,113.5991,0.403496792781934,0.4307553956834532,0.08777458024788198,-0.005365205946684215
iemocap,48,3,2,0.5,0.2991,0,0,24.2393,113.5991,0.45386185104479676,0.46402877697841727,0.053933000463170955,-0.005868824685541618
iemocap,48,3,2,0.7,0.2991,0,0,24.2393,113.5991,0.47722116638147744,0.4739208633093525,0.026863885137976884,-0.0073933177659599725
iemocap,48,3,2,1.0,0.2991,0,0,24.2393,113.5991,0.4706372989081307,0.44244604316546765,0.00023841649246092445,-0.006689808758372662
iemocap,48,3,2,0.005273083693729235,0.2991,0,1,24.2393,113.5991,0.35223531654523504,0.3893884892086331,0.10133768702435009,-0.006456637246349928
iemocap,48,3,5,0.0,0.5162,0,0,24.2393,113.5991,0.3513287277870454,0.3965827338129496,0.1450262987061045,-0.004528221298730761
iemocap,48,3,5,0.1,0.5162,0,0,24.2393,113.5991,0.3576616209280636,0.39928057553956836,0.12333197538941376,-0.0046457293212904816
iemocap,48,3,5,0.2,0.5162,0,0,24.2393,113.5991,0.3740654342856921,0.41097122302158273,0.10296764356570853,-0.004851987853518702
iemocap,48,3,5,0.3,0.5162,0,0,24.2393,113.5991,0.39770944620346194,0.4262589928057554,0.08338941728321503,-0.005294972869842152
iemocap,48,3,5,0.5,0.5162,0,0,24.2393,113.5991,0.4587376961553414,0.47032374100719426,0.04765096438588001,-0.006287101482036039
iemocap,48,3,5,0.5162,0.5162,1,0,24.2393,113.5991,0.46000074324519313,0.4712230215827338,0.0452248389909401,-0.006398692522132654
iemocap,48,3,5,0.7,0.5162,0,0,24.2393,113.5991,0.49365142204967966,0.49010791366906475,0.022469493845833854,-0.0072773095239173635
iemocap,48,3,5,1.0,0.5162,0,0,24.2393,113.5991,0.5101513534492278,0.48381294964028776,-0.0003275947876947294,-0.006905255172555247
iemocap,48,3,5,0.00921335167457629,0.5162,0,1,24.2393,113.5991,0.3639378997761728,0.38848920863309355,0.07980175133656042,-0.006249902717852862
iemocap,48,3,10,0.0,0.6809,0,0,24.2393,113.5991,0.3513287277870454,0.3965827338129496,0.1450262987061045,-0.004528221298730761
iemocap,48,3,10,0.1,0.6809,0,0,24.2393,113.5991,0.3578230752627132,0.4001798561151079,0.12409704741032812,-0.004654585257229948
iemocap,48,3,10,0.2,0.6809,0,0,24.2393,113.5991,0.37508002467249807,0.41097122302158273,0.10510622671214143,-0.004787671499924651
iemocap,48,3,10,0.3,0.6809,0,0,24.2393,113.5991,0.4056261004615796,0.4352517985611511,0.08758127848230135,-0.00498125847353692
iemocap,48,3,10,0.5,0.6809,0,0,24.2393,113.5991,0.4638236287569898,0.4739208633093525,0.054884079442444,-0.0054877003328619445
iemocap,48,3,10,0.6809,0.6809,1,0,24.2393,113.5991,0.49408707333530827,0.49280575539568344,0.03090990742175248,-0.0060984608187750755
iemocap,48,3,10,0.7,0.6809,0,0,24.2393,113.5991,0.49628260655501466,0.49460431654676257,0.028951681766884563,-0.0061517946276659075
iemocap,48,3,10,1.0,0.6809,0,0,24.2393,113.5991,0.5187777120739346,0.49640287769784175,0.004103521033796742,-0.006726799469523703
iemocap,48,3,10,0.012921766891536698,0.6809,0,1,24.2393,113.5991,0.3934466722515126,0.4064748201438849,0.07432556093799547,-0.00439411512775334
iemocap,48,3,20,0.0,0.8102,0,0,24.2393,113.5991,0.3513287277870454,0.3965827338129496,0.1450262987061045,-0.004528221298730761
iemocap,48,3,20,0.1,0.8102,0,0,24.2393,113.5991,0.3530269958970499,0.39568345323741005,0.12416169685147382,-0.004710994652017186
iemocap,48,3,20,0.2,0.8102,0,0,24.2393,113.5991,0.37273835629783114,0.4091726618705036,0.10501855736511256,-0.0050339414254536585
iemocap,48,3,20,0.3,0.8102,0,0,24.2393,113.5991,0.39774808855714805,0.427158273381295,0.08713761502941564,-0.005329877366493818
iemocap,48,3,20,0.5,0.8102,0,0,24.2393,113.5991,0.46027769437542526,0.47032374100719426,0.053362573250951284,-0.006309999338638628
iemocap,48,3,20,0.7,0.8102,0,0,24.2393,113.5991,0.4987472161823706,0.49280575539568344,0.026788263686529312,-0.0074604821776482755
