dataset,mode,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,delta_linear_mi_lb_bits,delta_linear_control_bits,delta_linear_entropy_bits,delta_mlp_mi_lb_bits,delta_mlp_control_bits,delta_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,concept_swap_sensitivity,enroll_resample_consistency,enrollk1_test_uar,enrollk1_concepts_mi_lb_bits,enrollk2_test_uar,enrollk2_concepts_mi_lb_bits,enrollk5_test_uar,enrollk5_concepts_mi_lb_bits,enrollk10_test_uar,enrollk10_concepts_mi_lb_bits
ravdess,operator,42,1,0.0,36,6.5,0.39375000000000004,0.33006129120498423,0.41,0.08079259836992936,-0.04410203980998739,2.3219280948873626,-0.019773435629776515,-0.026392403904416106,2.3219280948873626,-2.2726605794936665,-1.1175386298607717,2.3219280948873626,0.6193878402859867,-0.4434533081809553,2.3219280948873626,0.773009713857979,-0.837232993712854,2.3219280948873626,0.24713440726388658,-0.22743810145345256,2.3219280948873626,0.81,0.6733333333333333,0.296875,-0.016498682592687608,0.31562500000000004,0.02282565655986346,0.36250000000000004,0.024481704697250972,0.371875,0.06232857018808069
ravdess,operator,42,2,0.0,35,4.1,0.43125,0.40545932661324025,0.41333333333333333,0.026656506287927595,-0.0608145154275852,2.3219280948873626,0.007337291606488439,-0.027253354819142483,2.3219280948873626,-1.9989616838422846,-0.8700676742212994,2.3219280948873626,1.278236723182242,-0.26574946933825316,2.3219280948873626,1.5197601745212217,-0.8007650924006895,2.3219280948873626,0.9506121914380645,-0.1310696320510094,2.3219280948873626,0.8466666666666667,0.71,0.296875,0.036388758809907884,0.334375,0.021041103427744012,0.44375,0.03621356029003975,0.44062500000000004,0.04744026812033253
ravdess,operator,42,3,0.0,30,5.3,0.45,0.41826047279389633,0.44666666666666666,-0.05128538781630443,-0.0028872144039810976,2.3219280948873626,-0.044438406229786676,-0.011233269874608265,2.3219280948873626,-2.1833813409672667,-1.123428848977551,2.3219280948873626,0.5168943395398538,-0.12173435775043284,2.3219280948873626,1.110522333304314,-1.0546205795802055,2.3219280948873626,0.6392956816745679,-0.23364828333296117,2.3219280948873626,0.8633333333333333,0.8133333333333334,0.2875,-0.06367879432610524,0.315625,-0.04005912910345266,0.3125,-0.05380289921818937,0.41250000000000003,-0.0435735879551693
ravdess,operator,42,4,0.0,23,5.2,0.40312499999999996,0.3459805500670309,0.4033333333333333,0.03542450768860972,-0.03265227958511474,2.3219280948873626,-0.011144168144839206,-0.031544630230541326,2.3219280948873626,-2.5330555285062246,-0.7358436509012285,2.3219280948873626,1.1296379871967084,-0.15417589197107784,2.3219280948873626,1.3403535386895187,-0.7221590466631009,2.3219280948873626,0.5888262981920482,-0.21900680702108533,2.3219280948873626,0.8,0.7866666666666666,0.309375,-0.00771277013153604,0.37812500000000004,0.01497924447722232,0.390625,0.029601911003028114,0.4,0.011809197933031701
ravdess,operator,42,5,0.0,27,4.9,0.4296875,0.4110675792693337,0.43333333333333335,-0.013689741399190325,-0.07325204969644439,2.0,0.013647964206898289,-0.025542790818143146,2.0,-2.497820294221733,-1.1264176506060188,2.0,0.6163577984647783,-0.44054038422982433,2.0,0.9310039416882536,-1.064830670574985,2.0,0.5608040189140397,-0.21804956379418217,2.0,0.8416666666666667,0.7416666666666667,0.3046875,-0.023354572712556365,0.35546875,-0.020525313130125955,0.37890625,-0.02725865487195467,0.46484375,-0.03747454602498124
ravdess,operator,43,1,0.0,34,5.7,0.36250000000000004,0.3096288916997878,0.38666666666666666,0.03440824802459508,-0.06743474061321386,2.3219280948873626,-0.031592096249291046,-0.06766887272307986,2.3219280948873626,-1.0983742657879776,-0.30634741990553405,2.3219280948873626,0.8004059732842024,-0.1854221196659389,2.3219280948873626,0.6825998683391179,-0.3631599828485039,2.3219280948873626,0.34711222883275994,-0.17561808005834711,2.3219280948873626,0.8233333333333334,0.7533333333333333,0.278125,-0.04927265094460331,0.31562500000000004,-0.01637136548511542,0.321875,-0.008682722575568125,0.3375,0.05245169725090815
ravdess,operator,43,2,0.0,33,6.9,0.34687500000000004,0.31995883015226007,0.36333333333333334,0.022633998923237808,-0.04704876145353509,2.3219280948873626,-0.07260495481180396,-0.03477369372189498,2.3219280948873626,-0.6551248888633894,-0.1399712306600578,2.3219280948873626,0.43765101773111414,-0.1393188185973182,2.3219280948873626,1.1264781987779429,-0.13735430182085917,2.3219280948873626,0.33262551894462433,-0.14681175459399487,2.3219280948873626,0.86,0.67,0.259375,0.020799843258247463,0.28750000000000003,0.0018096398896014776,0.30625,0.021090872535942218,0.309375,0.022080481500460714
ravdess,operator,43,3,0.0,30,4.7,0.39375000000000004,0.3206476917506321,0.41333333333333333,-0.03811967811357597,-0.015419408951982572,2.3219280948873626,-0.05710567669763211,-0.03703401312783372,2.3219280948873626,-0.6887512268622245,-0.22427363635725506,2.3219280948873626,0.11113872667370606,-0.1768350626406634,2.3219280948873626,1.1263217606533953,-0.333545276983779,2.3219280948873626,0.30018138330934185,-0.10828190509582436,2.3219280948873626,0.82,0.7633333333333333,0.28125,-0.03727084968896799,0.346875,-0.035582770245766504,0.35625,-0.04635120459581277,0.3625,-0.035736360360837605
ravdess,operator,43,4,0.0,25,5.8,0.3625,0.33451313880716205,0.37333333333333335,0.025786220731641052,-0.05538680201170765,2.3219280948873626,-0.035198060339053594,-0.06726410343995459,2.3219280948873626,-0.7052559494171375,-0.48452879252730385,2.3219280948873626,1.1113416050446974,-0.3508040835862345,2.3219280948873626,1.0357573448838704,-0.5637741019845386,2.3219280948873626,0.2511992635497924,-0.3046333481268402,2.3219280948873626,0.8666666666666667,0.74,0.296875,-0.02102044139594872,0.33125,-0.007740357679477672,0.359375,-0.00827494033659315,0.34687500000000004,0.02797965900125199
ravdess,operator,43,5,0.0,21,5.8,0.40625,0.40350467025375564,0.42083333333333334,0.014489723958576839,-0.005296155407238157,2.0,-0.009164554770616284,-0.039168710417053276,2.0,-0.9941911722599062,-0.6734520184381116,2.0,0.2927564587651097,-0.12689393379652136,2.0,0.842990388448831,-0.6292587971821124,2.0,0.4569897901469213,-0.14332342363156947,2.0,0.8583333333333333,0.5125,0.296875,0.03724740277294192,0.3125,0.005978344796316648,0.32421875,0.01859213470613086,0.3671875,0.012366542959943994
ravdess,operator,44,1,0.0,24,5.9,0.315625,0.24246273463629334,0.32666666666666666,0.07319652178969349,-0.04239626240209882,2.3219280948873626,-0.0448542267075549,-0.0406671052925458,2.3219280948873626,-1.0712953927204714,-0.5761750426963212,2.3219280948873626,0.3547061815952004,-0.33341491342553864,2.3219280948873626,0.8397704595268729,-0.46291656746385845,2.3219280948873626,0.13240628285278744,-0.18472558168713382,2.3219280948873626,0.7833333333333333,0.86,0.23125,-0.011974399954992165,0.259375,-0.03249776514625813,0.30000000000000004,0.03676641042997009,0.296875,0.025141288157741748
ravdess,operator,44,2,0.0,30,7.0,0.321875,0.2621609206963898,0.32,0.03446298110468682,-0.03970746471894415,2.3219280948873626,-0.04554478049234589,-0.04455816371902532,2.3219280948873626,-0.567846031880106,-0.2900242800026458,2.3219280948873626,0.7140949397073908,-0.22742532533824367,2.3219280948873626,1.399317449838613,-0.268088405848788,2.3219280948873626,0.4239955522567307,-0.3798470744927047,2.3219280948873626,0.7833333333333333,0.7766666666666666,0.265625,0.038241961247337475,0.29375,-0.0022815163815042006,0.296875,0.010030163115901214,0.31875,0.008944168040086797
