dataset,mode,arm,no_style,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,delta_linear_mi_lb_bits,delta_linear_control_bits,delta_linear_entropy_bits,delta_mlp_mi_lb_bits,delta_mlp_control_bits,delta_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,concept_swap_sensitivity,enroll_resample_consistency,enrollk1_test_uar,enrollk1_concepts_mi_lb_bits,enrollk2_test_uar,enrollk2_concepts_mi_lb_bits,enrollk5_test_uar,enrollk5_concepts_mi_lb_bits,enrollk10_test_uar,enrollk10_concepts_mi_lb_bits
ravdess,operator,both,False,42,1,0.0,25,2.1,0.36874999999999997,0.31802458629919084,0.38,0.018503298385268874,-0.056270844219226124,2.3219280948873626,-0.035064295970921755,-0.026553408196127393,2.3219280948873626,-1.6012511593708445,-0.9438050671844591,2.3219280948873626,0.678203723775131,-0.2787309920282781,2.3219280948873626,0.9969422959050924,-0.8944278422498102,2.3219280948873626,0.34194912042810555,-0.2335095403268701,2.3219280948873626,0.83,0.6666666666666666,0.278125,-0.05236356389935626,0.309375,-0.04178945278371149,0.35625,-0.018567494786665417,0.3625,0.018941580053602358
ravdess,operator,both,False,42,2,0.0,22,2.0,0.434375,0.3897274530640187,0.41333333333333333,-0.0009207554894872239,-0.06149351996007679,2.3219280948873626,-0.012255233312334024,-0.03592028459147345,2.3219280948873626,-2.410448977245564,-1.2974138993423043,2.3219280948873626,1.3162618032296691,-0.24195180464897081,2.3219280948873626,1.2385077364055337,-1.0332277892972086,2.3219280948873626,0.9069505058270928,-0.22165014242058145,2.3219280948873626,0.8366666666666667,0.73,0.30000000000000004,0.022744307184609625,0.328125,0.022809740821620572,0.44062500000000004,0.017559552293192837,0.44375,0.017136412189899808
ravdess,operator,both,False,42,3,0.0,32,2.5,0.46562499999999996,0.41954800857800423,0.46,-0.05169863004256481,-0.021578611136262804,2.3219280948873626,-0.0031284380446074955,-0.024293326813810356,2.3219280948873626,-1.893003591619025,-1.2641299305287204,2.3219280948873626,0.7874805024055791,-0.23429841265123885,2.3219280948873626,1.2188172139924947,-1.11277069673628,2.3219280948873626,0.6724139823152011,-0.2756947918425383,2.3219280948873626,0.84,0.8733333333333333,0.296875,-0.030279586520764568,0.35000000000000003,-0.05202916283358272,0.34687500000000004,-0.06775180086158628,0.475,-0.04360343650572318
ravdess,operator,both,False,42,4,0.0,25,2.1,0.40625,0.3719627881648399,0.41,-0.017747863166105216,-0.029653953554787282,2.3219280948873626,0.005965367849054992,-0.013665170836973495,2.3219280948873626,-2.6240052134141347,-1.3351656670782686,2.3219280948873626,0.45322009323811874,-0.43955237038366324,2.3219280948873626,0.8917250793584088,-1.3018264000033937,2.3219280948873626,0.43678069674564,-0.2923401866260118,2.3219280948873626,0.8033333333333333,0.7633333333333333,0.3125,-0.017834610425130126,0.303125,-0.010139222371199352,0.3375,-0.016994362422098952,0.35,-0.03047071286076264
ravdess,operator,both,False,42,5,0.0,24,2.2,0.4296875,0.4221331768442804,0.42916666666666664,0.0007765115331954675,-0.08260497983273263,2.0,0.00767597182731139,-0.0361127828414598,2.0,-1.856758389981457,-1.2569149447893198,2.0,0.6519837330629741,-0.40548484381399996,2.0,0.8961297354011535,-0.9332930201016261,2.0,0.4464196022539917,-0.2423379843234943,2.0,0.825,0.7666666666666667,0.32421875,-0.042578160903746554,0.33984375,-0.025316983506534996,0.3828125,-0.021620166668995022,0.4296875,-0.03582266551267699
ravdess,operator,both,False,43,1,0.0,26,2.2,0.36875,0.3155726366175726,0.38666666666666666,0.026625164796391765,-0.07844311173820628,2.3219280948873626,-0.022292556658260132,-0.06070438446713755,2.3219280948873626,-1.0301710142793357,-0.26515833320705084,2.3219280948873626,0.8633194310447982,-0.27431874714839033,2.3219280948873626,0.7905695316848464,-0.35884836125568187,2.3219280948873626,0.27625585265669983,-0.11226962979853683,2.3219280948873626,0.8166666666666667,0.81,0.284375,-0.023379398719225453,0.334375,-0.0385491108693401,0.35624999999999996,-0.00685530067332385,0.35000000000000003,0.05246556182350126
ravdess,operator,both,False,43,2,0.0,23,2.0,0.371875,0.35651161243025514,0.3933333333333333,0.011169371055734345,-0.04690925735214835,2.3219280948873626,-0.058005738046748245,-0.031063196988450503,2.3219280948873626,-1.4725366704103293,-0.7616008448763911,2.3219280948873626,0.940686858050509,-0.3019319788747392,2.3219280948873626,1.375266004679796,-0.6177065088699947,2.3219280948873626,0.7111471896502979,-0.25459236801652985,2.3219280948873626,0.88,0.68,0.2875,0.028983759773698825,0.30937499999999996,0.02312201051837004,0.36250000000000004,0.010425174897319422,0.36875,0.020483867722747462
ravdess,operator,both,False,43,3,0.0,19,1.8,0.365625,0.3034385875689799,0.38666666666666666,-0.030127649661495504,-0.013076842987163051,2.3219280948873626,-0.03782716349261728,-0.04673171465310322,2.3219280948873626,-1.225803010082093,-0.5045786096803511,2.3219280948873626,0.6647634376348057,-0.38995090742051364,2.3219280948873626,0.7953996660659093,-0.6479787676905615,2.3219280948873626,0.2889048198568882,-0.31610685978273523,2.3219280948873626,0.8366666666666667,0.72,0.271875,-0.016711063715099783,0.325,-0.02432920623709789,0.3375,-0.04608799485244752,0.36875,-0.040079487188821705
ravdess,operator,both,False,43,4,0.0,28,2.3,0.35624999999999996,0.3334481923829606,0.36666666666666664,-0.0031207770108747646,-0.06121551575053763,2.3219280948873626,-0.037193313168341735,-0.08219483746725853,2.3219280948873626,-0.8417784702306479,-0.49713907199402474,2.3219280948873626,0.9813770263224519,-0.30264349484814046,2.3219280948873626,0.9810815099781043,-0.5503881309921672,2.3219280948873626,0.3171880157504354,-0.2925393176689153,2.3219280948873626,0.8433333333333334,0.7233333333333334,0.29374999999999996,-0.0026440408744186072,0.328125,-0.010040728953441214,0.359375,-0.02709708951420886,0.353125,0.004707578254657729
ravdess,operator,both,False,43,5,0.0,31,2.6,0.38671875,0.3713230639031658,0.4083333333333333,0.02598099808709975,-0.011704452881532212,2.0,-0.02091833534128229,-0.03153103246126898,2.0,-0.7609047390223287,-0.22288579404172415,2.0,0.36467673721046334,-0.04232726281022092,2.0,0.7125726406543298,-0.21322612615767111,2.0,0.5844204568796196,-0.09301276220424892,2.0,0.8375,0.5541666666666667,0.30078125,0.02767934071028555,0.31640625,0.012533311879917353,0.3203125,0.037956477470923344,0.359375,0.010086109903397311
