dataset,mode,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,delta_linear_mi_lb_bits,delta_linear_control_bits,delta_linear_entropy_bits,delta_mlp_mi_lb_bits,delta_mlp_control_bits,delta_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,concept_swap_sensitivity,enroll_resample_consistency,enrollk1_test_uar,enrollk1_concepts_mi_lb_bits,enrollk2_test_uar,enrollk2_concepts_mi_lb_bits,enrollk5_test_uar,enrollk5_concepts_mi_lb_bits,enrollk10_test_uar,enrollk10_concepts_mi_lb_bits
cremad,operator,42,1,0.0,24,29.7,0.6520061728395062,0.6471002930201438,0.6490514905149052,-0.006330993988838074,-0.05568652349778613,4.169925001442313,0.04326980497457544,-0.031876820626071556,4.169925001442313,-3.922687860884987,-2.5509877123061537,4.169925001442313,2.6133613442378603,-0.4544660223370798,4.169925001442313,0.4250237315507195,-2.5542867176000534,4.169925001442313,0.7891604827892205,-0.40633876611395436,4.169925001442313,0.8177506775067751,0.8739837398373984,0.45601851851851843,-0.02236295115429865,0.5014329805996472,-0.03306515718706926,0.5849867724867724,-0.011001792197756544,0.6004188712522046,-0.01825014866849628
cremad,operator,42,2,0.0,34,34.3,0.6929494278331488,0.6906137582007991,0.6908474576271186,0.0196203103223338,-0.041436734415687404,4.1699193444441836,-0.004802372026486701,-0.03606566040436121,4.1699193444441836,-2.9727120466851753,-2.173893960427309,4.1699193444441836,2.573722810823938,-0.3766414257440056,4.1699193444441836,0.21576875671878115,-2.040054101053178,4.1699193444441836,0.643222857568631,-0.31129088888373957,4.1699193444441836,0.8345762711864407,0.8732203389830508,0.46255383290267,-0.018553644766710065,0.5322905131044665,-0.015731580352973396,0.63171834625323,0.009162570174360063,0.6534514581026208,0.0030600195529686403
cremad,operator,42,3,0.0,39,34.7,0.6498031253845208,0.6452642126382181,0.648135593220339,0.03844583591611439,-0.047452823864796656,4.1699193444441836,0.09231135354501863,-0.047439275662924274,4.1699193444441836,-3.403514770296458,-2.044458304509659,4.1699193444441836,2.622098883541785,-0.359207687010489,4.1699193444441836,0.3472579631383912,-2.03579768179422,4.1699193444441836,0.8153110418530889,-0.42412190877452716,4.1699193444441836,0.8277966101694916,0.8535593220338983,0.431063122923588,0.005834203623821033,0.5147102251753415,0.02703506821749979,0.5794050695213486,0.0018367019560132647,0.605995447274517,0.028554986931704107
cremad,operator,42,4,0.0,37,33.9,0.6651582193617591,0.6614481297337815,0.6610608020698577,0.015969325036740756,-0.036987104670016535,4.247550686408009,0.0409540731681286,-0.03531011905840309,4.247550686408009,-3.013460694810499,-2.07106757572575,4.247550686408009,2.764842558560762,-0.29465255398342016,4.247550686408009,0.18855217207299635,-2.0055242034897915,4.247550686408009,0.5700774006584353,-0.39589894763206956,4.247550686408009,0.8260025873221216,0.888745148771022,0.4405504156610351,0.011416059370496612,0.5162297756324306,-0.017868644320530258,0.6065354876195584,0.003552133822037895,0.6484144542772862,0.015551833578179242
cremad,operator,42,5,0.0,35,34.6,0.6334414280861053,0.628885979335602,0.6299319727891156,0.029296962710773755,-0.04715838003737627,4.169716095873848,0.025403311513858107,-0.040202561035172835,4.169716095873848,-3.219207229941425,-1.9357381960526947,4.169716095873848,2.7876273470671458,-0.2644250931637595,4.169716095873848,0.8367690566334178,-1.8844195753602646,4.169716095873848,1.1197956108686125,-0.3136878088662174,4.169716095873848,0.8210884353741497,0.8646258503401361,0.4230149170758825,0.0015475220502167986,0.4949658729423392,0.006848485739856969,0.5791994811451866,0.03330457503521522,0.5863955032582846,0.02482041847483263
cremad,operator,43,1,0.0,33,34.4,0.6509038800705468,0.6459427260351426,0.6483739837398373,-0.03367837768289217,-0.037225105138755765,4.169925001442313,0.03443277238754128,-0.038899147210860185,4.169925001442313,-3.304524009738226,-2.1617172107972804,4.169925001442313,2.5540452730706744,-0.2961828056835838,4.169925001442313,0.39583658790857257,-2.0541275616659522,4.169925001442313,0.8579378426012187,-0.20608913921992755,4.169925001442313,0.8238482384823849,0.8550135501355014,0.4233906525573192,-0.03486443292883479,0.5079365079365079,-0.03387394986849035,0.5856481481481481,-0.033839834665776,0.6086860670194003,-0.03211821622305422
cremad,operator,43,2,0.0,32,28.6,0.6795373446536237,0.6729324599217402,0.6759322033898305,0.014474630177535808,-0.022097064030927704,4.1699193444441836,0.04798492257505327,-0.028447912429622413,4.1699193444441836,-3.464246980287908,-2.2904022272720894,4.1699193444441836,2.6998534841680213,-0.3762101338564614,4.1699193444441836,0.08409780241065334,-2.2673554606640893,4.1699193444441836,0.5647121290144064,-0.25266601060155214,4.1699193444441836,0.8338983050847457,0.8664406779661017,0.44118370862556905,-0.0376229121455145,0.506290759197736,-0.014333391597465273,0.5889565645379599,0.000240712317069125,0.6421373200442968,0.0012217224823993789
cremad,operator,43,3,0.0,25,27.1,0.6406576842623355,0.6344461003870597,0.6386440677966102,-0.029637376824173778,-0.02798892982742096,4.1699193444441836,0.028452828237520045,-0.04815558230893924,4.1699193444441836,-2.677409271077658,-2.071028611713845,4.1699193444441836,2.6566868021003804,-0.3647586962052909,4.1699193444441836,0.6867485119536116,-1.9726894634254943,4.1699193444441836,0.9232133512709328,-0.27772001509362276,4.1699193444441836,0.8250847457627118,0.8691525423728813,0.4291497477543989,-0.025089861752996434,0.4735695828719084,-0.029961163299078386,0.5737510766580535,-0.03228547900371126,0.5955057216685123,-0.041573321834693644
cremad,operator,43,4,0.0,29,31.0,0.669577411280951,0.6668491074075824,0.6655886157826649,0.00810387497022802,-0.04169379448532151,4.247550686408009,0.06417428009932813,-0.02922482448685315,4.247550686408009,-3.1428246625709564,-1.9084747525653203,4.247550686408009,2.6952027315360763,-0.3194283290775939,4.247550686408009,0.36459047394571265,-1.8773446852887883,4.247550686408009,0.6319099371209518,-0.30294309042688106,4.247550686408009,0.8130659767141009,0.869340232858991,0.4484446232233843,-0.001608220396255966,0.5244312594976311,-0.0208325702013763,0.5934790381693037,-0.003631484301519272,0.6028481719853401,-0.001622180931281747
cremad,operator,43,5,0.0,28,32.8,0.6263596775687946,0.6207704604784093,0.6224489795918368,-0.009949058410976264,-0.06027346984538795,4.169716095873848,0.002309363165930556,-0.03747976649379137,4.169716095873848,-3.1627274938875267,-2.111605247714742,4.169716095873848,2.8209574242390083,-0.40874471330142903,4.169716095873848,0.8330326601938669,-2.0887563122744,4.169716095873848,1.0445545793099118,-0.32716733139000453,4.169716095873848,0.8244897959183674,0.8904761904761904,0.42279563914883106,-0.041927440659029536,0.4902097038203774,-0.02034444990974915,0.5737823898205626,-0.01973234462942397,0.6011241854288273,0.0023427046193091883
