dataset,mode,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,delta_linear_mi_lb_bits,delta_linear_control_bits,delta_linear_entropy_bits,delta_mlp_mi_lb_bits,delta_mlp_control_bits,delta_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,concept_swap_sensitivity,enroll_resample_consistency
cremad,affine,42,1,0.0,25,29.2,0.6543209876543211,0.6489584971362867,0.6517615176151762,-0.01971786245639695,-0.05779096915290172,4.169925001442313,-0.04353265906223047,-0.03752881019062393,4.169925001442313,-3.677807517034376,-2.6522130156112054,4.169925001442313,2.203926150554581,-0.4367596944555876,4.169925001442313,0.01931108590982422,-2.59640475217917,4.169925001442313,0.5716738763477771,-0.3554870409681561,4.169925001442313,0.8136856368563685,0.8658536585365854
cremad,affine,42,2,0.0,35,34.1,0.6858803986710962,0.6807350634849815,0.6840677966101695,-0.008318824650907608,-0.04634816613147663,4.1699193444441836,0.055422058557056175,-0.044740963393291366,4.1699193444441836,-3.4040440500897207,-2.237083591482561,4.1699193444441836,2.4935008873855615,-0.38995656090759656,4.1699193444441836,-0.11115714865773452,-2.224171818307248,4.1699193444441836,0.6390861160036572,-0.35721089522778104,4.1699193444441836,0.8250847457627118,0.8677966101694915
cremad,affine,42,3,0.0,30,33.1,0.6560969607481236,0.6515621480224245,0.6542372881355932,0.018597863565390504,-0.05279014518240821,4.1699193444441836,0.07916149902470071,-0.041185676751929634,4.1699193444441836,-2.93784895586386,-2.323681512776096,4.1699193444441836,2.2771979087914627,-0.3259656988582975,4.1699193444441836,0.25207978810925535,-2.2839069013964304,4.1699193444441836,0.6583360450557079,-0.45024636911974625,4.1699193444441836,0.8359322033898305,0.8583050847457627
cremad,affine,42,4,0.0,33,33.8,0.6744212031822651,0.6695868671518568,0.6701164294954722,-0.029548809664937892,-0.06102864172998501,4.247550686408009,0.0573617766713177,-0.042054918424743626,4.247550686408009,-2.935495839879085,-2.3978956834471825,4.247550686408009,2.2491290506754953,-0.5209299812199459,4.247550686408009,-0.47666495364468897,-2.1644473261910964,4.247550686408009,0.38615256109672247,-0.37734466511840026,4.247550686408009,0.8247089262613195,0.8835705045278137
cremad,affine,42,5,0.0,25,19.2,0.6178387226288643,0.612552010773828,0.6136054421768707,0.008941528127571985,-0.04173620132686473,4.169716095873848,-0.01775634868367959,-0.0475918706006917,4.169716095873848,-2.707895320371434,-2.389353358644456,4.169716095873848,2.241236477275395,-0.492504164287185,4.169716095873848,0.25130302515832037,-2.233705334950976,4.169716095873848,0.7512030525351796,-0.3747508538419808,4.169716095873848,0.826530612244898,0.8585034013605443
cremad,affine,43,1,0.0,20,27.1,0.6351410934744269,0.6345972089717361,0.6334688346883469,-0.03492216343070176,-0.042734801275549295,4.169925001442313,-0.01102642127917175,-0.04070335613664433,4.169925001442313,-2.881214937774966,-2.045222678262105,4.169925001442313,2.4125989809263597,-0.3989587469725935,4.169925001442313,0.2924467966253892,-1.8597621857574351,4.169925001442313,0.5114978720458554,-0.36592414241217774,4.169925001442313,0.8130081300813008,0.8536585365853658
cremad,affine,43,2,0.0,33,35.3,0.6827796234772978,0.6806615007091898,0.6813559322033899,-0.01807612644086909,-0.026984714553888622,4.1699193444441836,0.023280183287272216,-0.04361747004928418,4.1699193444441836,-3.368044482822458,-2.5727727375308724,4.1699193444441836,2.159832852335502,-0.43735829853648234,4.1699193444441836,-0.6014916377287784,-2.3467825197292225,4.1699193444441836,0.18326006458598654,-0.30086192955264845,4.1699193444441836,0.8257627118644068,0.8671186440677966
cremad,affine,43,3,0.0,24,30.0,0.6324720068906116,0.6269238862216672,0.6311864406779661,0.021010866551946172,-0.044353226903229626,4.1699193444441836,0.0273902392760359,-0.02787467660070586,4.1699193444441836,-2.6877832602739335,-2.380164098661365,4.1699193444441836,2.1386845938934287,-0.30782390301478735,4.1699193444441836,0.20151713059621157,-2.175306262883158,4.1699193444441836,0.5062167917665898,-0.3434293875162222,4.1699193444441836,0.8264406779661017,0.8447457627118644
cremad,affine,43,4,0.0,36,33.0,0.6709406006972379,0.6679630309077389,0.6675291073738681,-0.024748512236512532,-0.04571764965888647,4.247550686408009,0.01266697044354359,-0.04877879284172426,4.247550686408009,-3.452515040625441,-2.4449497626137138,4.247550686408009,2.514372293670648,-0.4394429504272823,4.247550686408009,0.17581956430640133,-2.2722339516746866,4.247550686408009,0.5222252055796894,-0.442791483970419,4.247550686408009,0.8085381630012937,0.8732212160413971
cremad,affine,43,5,0.0,31,34.6,0.6325519626918682,0.6288175634343415,0.6299319727891156,-0.01461922914231728,-0.05954542799559004,4.169716095873848,-0.029534099917225554,-0.03386574392174513,4.169716095873848,-3.0024793707681,-2.7134275366116247,4.169716095873848,2.4102724134002207,-0.4730804071412589,4.169716095873848,0.6960725795106413,-2.5981948430701376,4.169716095873848,0.8835406942718511,-0.4584399302174793,4.169716095873848,0.8170068027210884,0.8836734693877552
cremad,affine,44,1,0.0,37,34.5,0.6383377425044091,0.6339095399799883,0.6361788617886179,-0.05842626974329779,-0.03992280518447178,4.169925001442313,-0.01299221299084774,-0.03253935178455869,4.169925001442313,-2.9348874170889676,-2.3293561231219027,4.169925001442313,2.222800458209794,-0.5686822017233029,4.169925001442313,-0.09808206615961002,-2.14418309041653,4.169925001442313,0.37652241618307825,-0.2612375347001903,4.169925001442313,0.8082655826558266,0.8448509485094851
cremad,affine,44,2,0.0,34,35.0,0.6822320659529962,0.6787354061207068,0.680677966101695,-0.029804231209210386,-0.06537451412241158,4.1699193444441836,0.03657099639376238,-0.04685693350211739,4.1699193444441836,-3.275845723478163,-2.4915225638113636,4.1699193444441836,2.2594891244917217,-0.35844556430590835,4.1699193444441836,-0.23826203014635983,-2.500647085683349,4.1699193444441836,0.45626560581419673,-0.2934465538144968,4.1699193444441836,0.8332203389830508,0.8786440677966102
cremad,affine,44,3,0.0,39,29.6,0.6632367417251137,0.6619720844348967,0.6623728813559322,-0.01628123919137714,-0.05285828508086077,4.1699193444441836,0.0032049051354112734,-0.029420389080576648,4.1699193444441836,-3.2308921567389923,-2.264408299131495,4.1699193444441836,2.34684506934615,-0.29278472440905556,4.1699193444441836,0.2647224691856902,-2.1201295383598975,4.1699193444441836,0.7286941559617963,-0.350442905205405,4.1699193444441836,0.8345762711864407,0.8461016949152542
cremad,affine,44,4,0.0,39,31.4,0.6665102350943058,0.6641843156741981,0.6642949547218628,0.020661537220985515,-0.0629561641918368,4.247550686408009,-0.01761746065484271,-0.02106361164628634,4.247550686408009,-2.795893091370111,-1.9963642284108118,4.247550686408009,2.6197390195867953,-0.4280269805642458,4.247550686408009,0.2886222994366583,-1.9573774404095587,4.247550686408009,0.6855932213477254,-0.4369208700750651,4.247550686408009,0.8285899094437258,0.8809831824062095
cremad,affine,44,5,0.0,27,30.2,0.6213718768337503,0.6192845169441096,0.6190476190476191,-0.018895348504783804,-0.038137027446834004,4.169716095873848,0.027129302911514053,-0.04267001750370447,4.169716095873848,-2.5023800763255366,-2.008037982905508,4.169716095873848,2.454053194588486,-0.39265461500703847,4.169716095873848,0.39725192426762357,-1.8441075563292983,4.169716095873848,0.6326079502362099,-0.364545142585019,4.169716095873848,0.8251700680272109,0.8414965986394558
