dataset,mode,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_linear_mi_lb_bits,c_aff_linear_control_bits,c_aff_linear_entropy_bits,c_aff_mlp_mi_lb_bits,c_aff_mlp_control_bits,c_aff_mlp_entropy_bits,c_style_linear_mi_lb_bits,c_style_linear_control_bits,c_style_linear_entropy_bits,c_style_mlp_mi_lb_bits,c_style_mlp_control_bits,c_style_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
cremad,floor,42,1,0.0,33,54.1,0.5594135802469137,0.5563973947528462,0.5582655826558266,0.2614927964195055,-0.04490468612135956,4.169925001442313,0.26343022913562253,-0.049714142274102535,4.169925001442313,1.771220236932304,-0.06367963723567271,4.169925001442313,1.6969036546509986,-0.04357958708101073,4.169925001442313,1.6470053641798246,-2.2218633996358736,4.169925001442313,1.9692978438204762,-0.3848093821462335,4.169925001442313
cremad,floor,42,1,0.5,30,74.7,0.5699955908289241,0.5626367134749211,0.5663956639566395,0.2668247608182872,-0.04072191895038024,4.169925001442313,0.3156114594099053,-0.03860758866954139,4.169925001442313,1.907160980251354,-0.04882943737590306,4.169925001442313,1.7713923413413077,-0.03420994772029484,4.169925001442313,1.652649876916858,-2.0620765145170683,4.169925001442313,1.9155642927459957,-0.29801400308383386,4.169925001442313
cremad,floor,42,1,1.0,30,75.0,0.558641975308642,0.5530618505070161,0.5555555555555556,0.2478125844531438,-0.044744183149493466,4.169925001442313,0.23644931016874704,-0.04203578017083487,4.169925001442313,1.6792935822310642,-0.04814651909714662,4.169925001442313,1.5912565445393598,-0.03418102095964848,4.169925001442313,1.4473852015801794,-1.7575562121981223,4.169925001442313,1.7368579102924335,-0.3252700074583972,4.169925001442313
cremad,floor,42,1,2.0,33,75.8,0.5655864197530864,0.5593977392092041,0.5630081300813008,0.22895723604134455,-0.045751957685067346,4.169925001442313,0.2423353728458042,-0.0329958911726953,4.169925001442313,1.0625055708069056,-0.026681929239383173,4.169925001442313,0.994379048214026,-0.029310879112431465,4.169925001442313,1.1153328360055448,-2.047950333891186,4.169925001442313,1.3776386864990506,-0.352932322236005,4.169925001442313
cremad,floor,42,1,4.0,32,71.1,0.5381393298059964,0.529578357701289,0.5345528455284553,0.22934599953349322,-0.04983405594883106,4.169925001442313,0.1932154683298899,-0.04518338607091543,4.169925001442313,0.9319884074520224,-0.026900130146519707,4.169925001442313,0.7250502372210024,-0.036904948176131214,4.169925001442313,0.803991743673953,-2.415649752489781,4.169925001442313,1.3318562678888828,-0.3085910590258072,4.169925001442313
cremad,floor,42,1,8.0,35,74.9,0.5028659611992946,0.4832632730336662,0.4986449864498645,0.39367176550121874,-0.051415786864693835,4.169925001442313,0.29594823013495164,-0.05141822913115224,4.169925001442313,0.03702827434912059,-0.09241050253645966,4.169925001442313,0.04410269980782999,-0.05744105150191281,4.169925001442313,0.4163744730370271,-2.2628325245003493,4.169925001442313,0.8309715512658875,-0.3339303791631778,4.169925001442313
cremad,floor,42,1,16.0,3,24.7,0.3423721340388007,0.2856058228598432,0.34688346883468835,0.17068442359881164,-0.02515714472601971,4.169925001442313,0.03325764816264076,-0.04223294372698483,4.169925001442313,0.2814097374442106,-0.04633002611881665,4.169925001442313,0.30698439177297,-0.04301503297452136,4.169925001442313,1.0839921086143414,-0.5410917793131,4.169925001442313,0.6239779144046502,-0.1294143524081779,4.169925001442313
cremad,floor,42,2,0.0,30,54.3,0.6284114679463517,0.6234693053392422,0.6264406779661017,0.16315820492260968,-0.03878269418489033,4.1699193444441836,0.21862507766114225,-0.03832608225581513,4.1699193444441836,1.6874599653999063,-0.04923931014684424,4.1699193444441836,1.5595272242460627,-0.044561845597788974,4.1699193444441836,1.5159231892706315,-1.7722992977605205,4.1699193444441836,1.7655508829833004,-0.35653605977500025,4.1699193444441836
cremad,floor,42,2,0.5,30,75.5,0.620176571920758,0.6119656831969124,0.6169491525423729,0.13865422757013857,-0.03425070111772399,4.1699193444441836,0.17283559618548816,-0.041908755273653675,4.1699193444441836,1.2601247692727213,-0.044442521704730176,4.1699193444441836,1.025082834587053,-0.030544365904567883,4.1699193444441836,1.0139608800766489,-1.8335928695973713,4.1699193444441836,1.3725993171200543,-0.27302768596738325,4.1699193444441836
cremad,floor,42,2,1.0,25,65.6,0.6011812476928756,0.5937175325148404,0.5986440677966102,0.1206957315365802,-0.033482123837409894,4.1699193444441836,0.15302286267769993,-0.04174909430887741,4.1699193444441836,0.2023378964062279,-0.01769487989344576,4.1699193444441836,0.1056625860616558,-0.01832246862215481,4.1699193444441836,0.3822454001403255,-1.5161223108649118,4.1699193444441836,0.6256537299392133,-0.2519364156275694,4.1699193444441836
